observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	leafNumber	leafLaminaFreshWeight	leafArea	leafFreshWeight	cellDivisionZoneLengthLeaf	leafWidth	shootFreshWeight	leafLength	finalLeafLength	shootDryWeight
P_8231	NA	NA	NA	Zea_VIB_RIL_8W_91RIL8way___198	RIL_8W_91 RIL 8-way 	198	NA	2013-10-27T14:00:00Z								164.00		
P_8231	NA	NA	NA	Zea_VIB_RIL_8W_91RIL8way___198	RIL_8W_91 RIL 8-way 	198	NA	2013-10-28T08:00:00Z								215.00		
P_8231	NA	NA	NA	Zea_VIB_RIL_8W_91RIL8way___198	RIL_8W_91 RIL 8-way 	198	NA	2013-10-29T07:30:00Z								287.00		
P_8232	NA	NA	NA	Zea_VIB_RIL_8W_91RIL8way___198	RIL_8W_91 RIL 8-way 	198	NA	2013-10-27T14:00:00Z								142.00		
P_8232	NA	NA	NA	Zea_VIB_RIL_8W_91RIL8way___198	RIL_8W_91 RIL 8-way 	198	NA	2013-10-28T08:00:00Z								190.00		
P_8232	NA	NA	NA	Zea_VIB_RIL_8W_91RIL8way___198	RIL_8W_91 RIL 8-way 	198	NA	2013-10-29T07:30:00Z								257.00		
P_8233	NA	NA	NA	Zea_VIB_RIL_8W_91RIL8way___198	RIL_8W_91 RIL 8-way 	198	NA	2013-10-26T07:05:00Z								132.00		
P_8233	NA	NA	NA	Zea_VIB_RIL_8W_91RIL8way___198	RIL_8W_91 RIL 8-way 	198	NA	2013-10-27T14:00:00Z								237.00		
P_8233	NA	NA	NA	Zea_VIB_RIL_8W_91RIL8way___198	RIL_8W_91 RIL 8-way 	198	NA	2013-10-28T08:00:00Z								283.00		
P_8234	NA	NA	NA	Zea_VIB_RIL_8W_91RIL8way___198	RIL_8W_91 RIL 8-way 	198	NA	2013-10-27T14:00:00Z								144.00		
P_8234	NA	NA	NA	Zea_VIB_RIL_8W_91RIL8way___198	RIL_8W_91 RIL 8-way 	198	NA	2013-10-28T08:00:00Z								188.00		
P_8234	NA	NA	NA	Zea_VIB_RIL_8W_91RIL8way___198	RIL_8W_91 RIL 8-way 	198	NA	2013-10-29T07:30:00Z								258.00		
P_8235	NA	NA	NA	Zea_VIB_RIL_8W_91RIL8way___198	RIL_8W_91 RIL 8-way 	198	NA	2013-10-27T14:00:00Z								259.00		
P_8235	NA	NA	NA	Zea_VIB_RIL_8W_91RIL8way___198	RIL_8W_91 RIL 8-way 	198	NA	2013-10-28T08:00:00Z								304.00		
P_8235	NA	NA	NA	Zea_VIB_RIL_8W_91RIL8way___198	RIL_8W_91 RIL 8-way 	198	NA	2013-10-29T07:30:00Z								374.00		
P_8236	NA	NA	NA	Zea_VIB_RIL_8W_91RIL8way___198	RIL_8W_91 RIL 8-way 	198	NA	2013-11-08T08:40:00Z									694.00	
P_8236	NA	NA	NA	Zea_VIB_RIL_8W_91RIL8way___198	RIL_8W_91 RIL 8-way 	198	NA	2013-11-08T08:40:00Z			77.35							
P_8236	NA	NA	NA	Zea_VIB_RIL_8W_91RIL8way___198	RIL_8W_91 RIL 8-way 	198	NA	2013-11-08T08:40:00Z				3.49						
P_8236	NA	NA	NA	Zea_VIB_RIL_8W_91RIL8way___198	RIL_8W_91 RIL 8-way 	198	NA	2013-11-08T08:40:00Z		1.54								
P_8236	NA	NA	NA	Zea_VIB_RIL_8W_91RIL8way___198	RIL_8W_91 RIL 8-way 	198	NA	2013-10-27T14:00:00Z								212.00		
P_8236	NA	NA	NA	Zea_VIB_RIL_8W_91RIL8way___198	RIL_8W_91 RIL 8-way 	198	NA	2013-10-28T08:00:00Z								264.00		
P_8236	NA	NA	NA	Zea_VIB_RIL_8W_91RIL8way___198	RIL_8W_91 RIL 8-way 	198	NA	2013-10-29T07:30:00Z								346.00		
P_8236	NA	NA	NA	Zea_VIB_RIL_8W_91RIL8way___198	RIL_8W_91 RIL 8-way 	198	NA	2013-10-30T08:00:00Z								436.00		
P_8236	NA	NA	NA	Zea_VIB_RIL_8W_91RIL8way___198	RIL_8W_91 RIL 8-way 	198	NA	2013-10-31T08:00:00Z								526.00		
P_8236	NA	NA	NA	Zea_VIB_RIL_8W_91RIL8way___198	RIL_8W_91 RIL 8-way 	198	NA	2013-11-01T08:30:00Z								595.00		
P_8236	NA	NA	NA	Zea_VIB_RIL_8W_91RIL8way___198	RIL_8W_91 RIL 8-way 	198	NA	2013-11-03T10:00:00Z								683.00		
P_8236	NA	NA	NA	Zea_VIB_RIL_8W_91RIL8way___198	RIL_8W_91 RIL 8-way 	198	NA	2013-11-04T08:10:00Z								587.00		
P_8236	NA	NA	NA	Zea_VIB_RIL_8W_91RIL8way___198	RIL_8W_91 RIL 8-way 	198	NA	2013-11-05T08:15:00Z								691.00		
P_8236	NA	NA	NA	Zea_VIB_RIL_8W_91RIL8way___198	RIL_8W_91 RIL 8-way 	198	NA	2013-11-06T08:00:00Z								689.00		
P_8236	NA	NA	NA	Zea_VIB_RIL_8W_91RIL8way___198	RIL_8W_91 RIL 8-way 	198	NA	2013-11-07T08:05:00Z								687.00		
