observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	leafFreshWeight	leafNumber	leafWidth	shootFreshWeight	leafLength	cellDivisionZoneLengthLeaf	finalLeafLength	leafLaminaFreshWeight	leafArea	shootDryWeight
P_6583	NA	NA	NA	Zea_VIB_RIL_8W_1RIL8way___114	RIL_8W_1 RIL 8-way 	114	NA	2013-01-15T08:50:00Z					134.00					
P_6583	NA	NA	NA	Zea_VIB_RIL_8W_1RIL8way___114	RIL_8W_1 RIL 8-way 	114	NA	2013-01-16T08:00:00Z					198.00					
P_6583	NA	NA	NA	Zea_VIB_RIL_8W_1RIL8way___114	RIL_8W_1 RIL 8-way 	114	NA	2013-01-17T08:00:00Z					267.00					
P_6584	NA	NA	NA	Zea_VIB_RIL_8W_1RIL8way___114	RIL_8W_1 RIL 8-way 	114	NA	2013-01-16T08:00:00Z					156.00					
P_6584	NA	NA	NA	Zea_VIB_RIL_8W_1RIL8way___114	RIL_8W_1 RIL 8-way 	114	NA	2013-01-17T08:00:00Z					212.00					
P_6584	NA	NA	NA	Zea_VIB_RIL_8W_1RIL8way___114	RIL_8W_1 RIL 8-way 	114	NA	2013-01-18T08:05:00Z					270.00					
P_6585	NA	NA	NA	Zea_VIB_RIL_8W_1RIL8way___114	RIL_8W_1 RIL 8-way 	114	NA	2013-01-16T08:00:00Z					148.00					
P_6585	NA	NA	NA	Zea_VIB_RIL_8W_1RIL8way___114	RIL_8W_1 RIL 8-way 	114	NA	2013-01-17T08:00:00Z					210.00					
P_6585	NA	NA	NA	Zea_VIB_RIL_8W_1RIL8way___114	RIL_8W_1 RIL 8-way 	114	NA	2013-01-18T08:05:00Z					274.00					
P_6586	NA	NA	NA	Zea_VIB_RIL_8W_1RIL8way___114	RIL_8W_1 RIL 8-way 	114	NA	2013-01-29T08:15:00Z							670.00			
P_6586	NA	NA	NA	Zea_VIB_RIL_8W_1RIL8way___114	RIL_8W_1 RIL 8-way 	114	NA	2013-01-29T08:15:00Z									88.09	
P_6586	NA	NA	NA	Zea_VIB_RIL_8W_1RIL8way___114	RIL_8W_1 RIL 8-way 	114	NA	2013-01-29T08:15:00Z	4.33									
P_6586	NA	NA	NA	Zea_VIB_RIL_8W_1RIL8way___114	RIL_8W_1 RIL 8-way 	114	NA	2013-01-29T08:15:00Z								2.14		
P_6586	NA	NA	NA	Zea_VIB_RIL_8W_1RIL8way___114	RIL_8W_1 RIL 8-way 	114	NA	2013-01-19T15:00:00Z					172.00					
P_6586	NA	NA	NA	Zea_VIB_RIL_8W_1RIL8way___114	RIL_8W_1 RIL 8-way 	114	NA	2013-01-21T08:05:00Z					271.00					
P_6586	NA	NA	NA	Zea_VIB_RIL_8W_1RIL8way___114	RIL_8W_1 RIL 8-way 	114	NA	2013-01-22T08:00:00Z					330.00					
P_6586	NA	NA	NA	Zea_VIB_RIL_8W_1RIL8way___114	RIL_8W_1 RIL 8-way 	114	NA	2013-01-23T08:00:00Z					398.00					
P_6586	NA	NA	NA	Zea_VIB_RIL_8W_1RIL8way___114	RIL_8W_1 RIL 8-way 	114	NA	2013-01-24T08:00:00Z					457.00					
P_6586	NA	NA	NA	Zea_VIB_RIL_8W_1RIL8way___114	RIL_8W_1 RIL 8-way 	114	NA	2013-01-25T09:10:00Z					524.00					
P_6586	NA	NA	NA	Zea_VIB_RIL_8W_1RIL8way___114	RIL_8W_1 RIL 8-way 	114	NA	2013-01-28T08:30:00Z					647.00					
P_6586	NA	NA	NA	Zea_VIB_RIL_8W_1RIL8way___114	RIL_8W_1 RIL 8-way 	114	NA	2013-01-29T08:15:00Z					664.00					
P_6586	NA	NA	NA	Zea_VIB_RIL_8W_1RIL8way___114	RIL_8W_1 RIL 8-way 	114	NA	2013-01-29T08:15:00Z		7.00								
P_6586	NA	NA	NA	Zea_VIB_RIL_8W_1RIL8way___114	RIL_8W_1 RIL 8-way 	114	NA	2013-01-29T08:15:00Z			2.67							
P_6586	NA	NA	NA	Zea_VIB_RIL_8W_1RIL8way___114	RIL_8W_1 RIL 8-way 	114	NA	2013-01-29T08:15:00Z										1.17
P_6586	NA	NA	NA	Zea_VIB_RIL_8W_1RIL8way___114	RIL_8W_1 RIL 8-way 	114	NA	2013-01-29T08:15:00Z				15.42						
P_6587	NA	NA	NA	Zea_VIB_RIL_8W_1RIL8way___114	RIL_8W_1 RIL 8-way 	114	NA	2013-01-29T08:15:00Z							743.00			
P_6587	NA	NA	NA	Zea_VIB_RIL_8W_1RIL8way___114	RIL_8W_1 RIL 8-way 	114	NA	2013-01-29T08:15:00Z									90.39	
P_6587	NA	NA	NA	Zea_VIB_RIL_8W_1RIL8way___114	RIL_8W_1 RIL 8-way 	114	NA	2013-01-29T08:15:00Z	4.81									
P_6587	NA	NA	NA	Zea_VIB_RIL_8W_1RIL8way___114	RIL_8W_1 RIL 8-way 	114	NA	2013-01-29T08:15:00Z								2.23		
P_6587	NA	NA	NA	Zea_VIB_RIL_8W_1RIL8way___114	RIL_8W_1 RIL 8-way 	114	NA	2013-01-17T08:00:00Z					127.00					
P_6587	NA	NA	NA	Zea_VIB_RIL_8W_1RIL8way___114	RIL_8W_1 RIL 8-way 	114	NA	2013-01-18T08:05:00Z					178.00					
P_6587	NA	NA	NA	Zea_VIB_RIL_8W_1RIL8way___114	RIL_8W_1 RIL 8-way 	114	NA	2013-01-19T15:00:00Z					265.00					
P_6587	NA	NA	NA	Zea_VIB_RIL_8W_1RIL8way___114	RIL_8W_1 RIL 8-way 	114	NA	2013-01-21T08:05:00Z					382.00					
P_6587	NA	NA	NA	Zea_VIB_RIL_8W_1RIL8way___114	RIL_8W_1 RIL 8-way 	114	NA	2013-01-22T08:00:00Z					456.00					
P_6587	NA	NA	NA	Zea_VIB_RIL_8W_1RIL8way___114	RIL_8W_1 RIL 8-way 	114	NA	2013-01-23T08:00:00Z					528.00					
P_6587	NA	NA	NA	Zea_VIB_RIL_8W_1RIL8way___114	RIL_8W_1 RIL 8-way 	114	NA	2013-01-24T08:00:00Z					587.00					
P_6587	NA	NA	NA	Zea_VIB_RIL_8W_1RIL8way___114	RIL_8W_1 RIL 8-way 	114	NA	2013-01-25T09:10:00Z					648.00					
