observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	leafNumber	leafLaminaFreshWeight	leafArea	leafFreshWeight	cellDivisionZoneLengthLeaf	leafWidth	shootFreshWeight	leafLength	finalLeafLength	shootDryWeight
P_7231	NA	NA	NA	Zea_VIB_RIL_8W_37RIL8way___141	RIL_8W_37 RIL 8-way 	141	NA	2013-05-15T07:00:00Z								134.00		
P_7231	NA	NA	NA	Zea_VIB_RIL_8W_37RIL8way___141	RIL_8W_37 RIL 8-way 	141	NA	2013-05-16T07:15:00Z								194.00		
P_7231	NA	NA	NA	Zea_VIB_RIL_8W_37RIL8way___141	RIL_8W_37 RIL 8-way 	141	NA	2013-05-17T08:00:00Z								238.00		
P_7232	NA	NA	NA	Zea_VIB_RIL_8W_37RIL8way___141	RIL_8W_37 RIL 8-way 	141	NA	2013-05-27T07:10:00Z									611.00	
P_7232	NA	NA	NA	Zea_VIB_RIL_8W_37RIL8way___141	RIL_8W_37 RIL 8-way 	141	NA	2013-05-27T07:10:00Z			98.03							
P_7232	NA	NA	NA	Zea_VIB_RIL_8W_37RIL8way___141	RIL_8W_37 RIL 8-way 	141	NA	2013-05-27T07:10:00Z				4.50						
P_7232	NA	NA	NA	Zea_VIB_RIL_8W_37RIL8way___141	RIL_8W_37 RIL 8-way 	141	NA	2013-05-27T07:10:00Z		1.94								
P_7232	NA	NA	NA	Zea_VIB_RIL_8W_37RIL8way___141	RIL_8W_37 RIL 8-way 	141	NA	2013-05-16T07:15:00Z								178.00		
P_7232	NA	NA	NA	Zea_VIB_RIL_8W_37RIL8way___141	RIL_8W_37 RIL 8-way 	141	NA	2013-05-17T08:00:00Z								241.00		
P_7232	NA	NA	NA	Zea_VIB_RIL_8W_37RIL8way___141	RIL_8W_37 RIL 8-way 	141	NA	2013-05-18T09:00:00Z								305.00		
P_7232	NA	NA	NA	Zea_VIB_RIL_8W_37RIL8way___141	RIL_8W_37 RIL 8-way 	141	NA	2013-05-20T09:30:00Z								430.00		
P_7232	NA	NA	NA	Zea_VIB_RIL_8W_37RIL8way___141	RIL_8W_37 RIL 8-way 	141	NA	2013-05-21T07:00:00Z								488.00		
P_7232	NA	NA	NA	Zea_VIB_RIL_8W_37RIL8way___141	RIL_8W_37 RIL 8-way 	141	NA	2013-05-22T07:20:00Z								539.00		
P_7232	NA	NA	NA	Zea_VIB_RIL_8W_37RIL8way___141	RIL_8W_37 RIL 8-way 	141	NA	2013-05-23T07:00:00Z								568.00		
P_7232	NA	NA	NA	Zea_VIB_RIL_8W_37RIL8way___141	RIL_8W_37 RIL 8-way 	141	NA	2013-05-24T08:00:00Z								593.00		
P_7232	NA	NA	NA	Zea_VIB_RIL_8W_37RIL8way___141	RIL_8W_37 RIL 8-way 	141	NA	2013-05-27T07:10:00Z								611.00		
P_7232	NA	NA	NA	Zea_VIB_RIL_8W_37RIL8way___141	RIL_8W_37 RIL 8-way 	141	NA	2013-05-27T07:10:00Z	8.00									
P_7232	NA	NA	NA	Zea_VIB_RIL_8W_37RIL8way___141	RIL_8W_37 RIL 8-way 	141	NA	2013-05-27T07:10:00Z						3.17				
P_7232	NA	NA	NA	Zea_VIB_RIL_8W_37RIL8way___141	RIL_8W_37 RIL 8-way 	141	NA	2013-05-27T07:10:00Z										1.77
P_7232	NA	NA	NA	Zea_VIB_RIL_8W_37RIL8way___141	RIL_8W_37 RIL 8-way 	141	NA	2013-05-27T07:10:00Z							26.85			
P_7233	NA	NA	NA	Zea_VIB_RIL_8W_37RIL8way___141	RIL_8W_37 RIL 8-way 	141	NA	2013-05-27T07:10:00Z									612.00	
P_7233	NA	NA	NA	Zea_VIB_RIL_8W_37RIL8way___141	RIL_8W_37 RIL 8-way 	141	NA	2013-05-27T07:10:00Z			86.74							
