Source Name	Characteristics[Organism]	Characteristics[Genus]	Characteristics[Species]	Protocol REF	Sample Name	Characteristics[Observation Unit Type]	Characteristics[Spatial Distribution]
A632 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_18	plant	[plant]18
A632 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_19	plant	[plant]19
A632 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_16	plant	[plant]16
A632 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_14	plant	[plant]14
A632 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_8	plant	[plant]8
A632 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_2	plant	[plant]2
A632 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_3	plant	[plant]3
A632 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_12	plant	[plant]12
A632 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_9	plant	[plant]9
A632 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_5	plant	[plant]5
A632 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_15	plant	[plant]15
A632 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_17	plant	[plant]17
A632 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_13	plant	[plant]13
A632 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_4	plant	[plant]4
A632 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_1	plant	[plant]1
A632 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_20	plant	[plant]20
A632 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_10	plant	[plant]10
A632 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_7	plant	[plant]7
A632 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_6	plant	[plant]6
A632 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_11	plant	[plant]11
B104 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_31	plant	[plant]31
B104 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_39	plant	[plant]39
B104 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_40	plant	[plant]40
B104 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_27	plant	[plant]27
B104 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_35	plant	[plant]35
B104 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_32	plant	[plant]32
B104 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_26	plant	[plant]26
B104 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_21	plant	[plant]21
B104 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_23	plant	[plant]23
B104 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_28	plant	[plant]28
B104 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_29	plant	[plant]29
B104 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_37	plant	[plant]37
B104 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_34	plant	[plant]34
B104 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_36	plant	[plant]36
B104 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_33	plant	[plant]33
B104 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_30	plant	[plant]30
B104 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_38	plant	[plant]38
B104 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_24	plant	[plant]24
B104 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_22	plant	[plant]22
B104 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_25	plant	[plant]25
B73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_42	plant	[plant]42
B73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_57	plant	[plant]57
B73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_47	plant	[plant]47
B73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_52	plant	[plant]52
B73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_58	plant	[plant]58
B73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_59	plant	[plant]59
B73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_53	plant	[plant]53
B73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_51	plant	[plant]51
B73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_44	plant	[plant]44
B73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_45	plant	[plant]45
B73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_50	plant	[plant]50
B73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_55	plant	[plant]55
B73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_54	plant	[plant]54
B73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_48	plant	[plant]48
B73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_49	plant	[plant]49
B73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_46	plant	[plant]46
B73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_43	plant	[plant]43
B73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_60	plant	[plant]60
B73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_56	plant	[plant]56
B73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_41	plant	[plant]41
CML91 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_67	plant	[plant]67
CML91 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_77	plant	[plant]77
CML91 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_66	plant	[plant]66
CML91 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_73	plant	[plant]73
CML91 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_76	plant	[plant]76
CML91 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_74	plant	[plant]74
CML91 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_62	plant	[plant]62
CML91 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_68	plant	[plant]68
CML91 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_70	plant	[plant]70
CML91 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_63	plant	[plant]63
CML91 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_72	plant	[plant]72
CML91 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_71	plant	[plant]71
CML91 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_64	plant	[plant]64
CML91 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_65	plant	[plant]65
CML91 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_69	plant	[plant]69
CML91 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_80	plant	[plant]80
CML91 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_75	plant	[plant]75
CML91 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_78	plant	[plant]78
CML91 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_61	plant	[plant]61
CML91 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_79	plant	[plant]79
F7 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_96	plant	[plant]96
F7 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_95	plant	[plant]95
F7 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_89	plant	[plant]89
F7 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_94	plant	[plant]94
F7 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_100	plant	[plant]100
F7 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_82	plant	[plant]82
F7 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_81	plant	[plant]81
F7 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_97	plant	[plant]97
F7 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_91	plant	[plant]91
F7 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_92	plant	[plant]92
F7 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_87	plant	[plant]87
F7 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_98	plant	[plant]98
F7 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_85	plant	[plant]85
F7 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_93	plant	[plant]93
F7 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_84	plant	[plant]84
F7 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_99	plant	[plant]99
F7 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_83	plant	[plant]83
F7 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_86	plant	[plant]86
F7 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_90	plant	[plant]90
F7 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_88	plant	[plant]88
H99 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_115	plant	[plant]115
H99 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_103	plant	[plant]103
H99 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_102	plant	[plant]102
H99 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_112	plant	[plant]112
H99 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_120	plant	[plant]120
H99 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_109	plant	[plant]109
H99 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_106	plant	[plant]106
H99 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_105	plant	[plant]105
H99 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_108	plant	[plant]108
H99 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_104	plant	[plant]104
H99 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_107	plant	[plant]107
H99 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_101	plant	[plant]101
H99 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_118	plant	[plant]118
H99 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_116	plant	[plant]116
H99 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_111	plant	[plant]111
H99 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_113	plant	[plant]113
H99 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_119	plant	[plant]119
H99 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_117	plant	[plant]117
H99 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_114	plant	[plant]114
H99 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_110	plant	[plant]110
HP301 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_129	plant	[plant]129
HP301 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_131	plant	[plant]131
HP301 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_138	plant	[plant]138
HP301 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_127	plant	[plant]127
HP301 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_121	plant	[plant]121
HP301 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_140	plant	[plant]140
HP301 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_123	plant	[plant]123
HP301 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_130	plant	[plant]130
HP301 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_124	plant	[plant]124
HP301 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_137	plant	[plant]137
HP301 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_122	plant	[plant]122
HP301 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_128	plant	[plant]128
HP301 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_133	plant	[plant]133
HP301 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_125	plant	[plant]125
HP301 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_132	plant	[plant]132
HP301 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_134	plant	[plant]134
HP301 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_136	plant	[plant]136
HP301 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_135	plant	[plant]135
HP301 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_126	plant	[plant]126
HP301 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_139	plant	[plant]139
Mo17 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_157	plant	[plant]157
Mo17 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_150	plant	[plant]150
Mo17 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_152	plant	[plant]152
Mo17 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_149	plant	[plant]149
Mo17 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_148	plant	[plant]148
Mo17 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_159	plant	[plant]159
Mo17 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_156	plant	[plant]156
Mo17 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_153	plant	[plant]153
Mo17 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_143	plant	[plant]143
Mo17 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_158	plant	[plant]158
Mo17 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_142	plant	[plant]142
Mo17 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_147	plant	[plant]147
Mo17 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_151	plant	[plant]151
Mo17 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_141	plant	[plant]141
Mo17 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_145	plant	[plant]145
Mo17 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_144	plant	[plant]144
Mo17 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_160	plant	[plant]160
Mo17 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_154	plant	[plant]154
Mo17 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_155	plant	[plant]155
Mo17 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_146	plant	[plant]146
W153R RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_172	plant	[plant]172
W153R RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_179	plant	[plant]179
W153R RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_180	plant	[plant]180
W153R RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_175	plant	[plant]175
W153R RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_173	plant	[plant]173
W153R RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_178	plant	[plant]178
W153R RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_161	plant	[plant]161
W153R RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_166	plant	[plant]166
W153R RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_169	plant	[plant]169
W153R RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_168	plant	[plant]168
W153R RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_174	plant	[plant]174
W153R RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_165	plant	[plant]165
W153R RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_171	plant	[plant]171
W153R RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_177	plant	[plant]177
W153R RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_163	plant	[plant]163
W153R RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_176	plant	[plant]176
W153R RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_170	plant	[plant]170
W153R RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_167	plant	[plant]167
W153R RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_162	plant	[plant]162
W153R RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_164	plant	[plant]164
