Source Name	Characteristics[Organism]	Characteristics[Genus]	Characteristics[Species]	Protocol REF	Sample Name	Characteristics[Observation Unit Type]	Characteristics[Spatial Distribution]
B73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_178	plant	[plant]178
B73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_172	plant	[plant]172
B73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_173	plant	[plant]173
B73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_175	plant	[plant]175
B73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_176	plant	[plant]176
B73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_181	plant	[plant]181
B73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_177	plant	[plant]177
B73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_180	plant	[plant]180
B73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_179	plant	[plant]179
B73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_174	plant	[plant]174
RIL_8W_73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_1	plant	[plant]1
RIL_8W_73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_18	plant	[plant]18
RIL_8W_73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_7	plant	[plant]7
RIL_8W_73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_4	plant	[plant]4
RIL_8W_73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_11	plant	[plant]11
RIL_8W_73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_19	plant	[plant]19
RIL_8W_73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_9	plant	[plant]9
RIL_8W_73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_2	plant	[plant]2
RIL_8W_73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_14	plant	[plant]14
RIL_8W_73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_10	plant	[plant]10
RIL_8W_73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_15	plant	[plant]15
RIL_8W_73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_8	plant	[plant]8
RIL_8W_73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_12	plant	[plant]12
RIL_8W_73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_3	plant	[plant]3
RIL_8W_73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_6	plant	[plant]6
RIL_8W_73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_5	plant	[plant]5
RIL_8W_73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_13	plant	[plant]13
RIL_8W_73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_16	plant	[plant]16
RIL_8W_73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_17	plant	[plant]17
RIL_8W_74 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_32	plant	[plant]32
RIL_8W_74 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_38	plant	[plant]38
RIL_8W_74 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_27	plant	[plant]27
RIL_8W_74 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_23	plant	[plant]23
RIL_8W_74 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_30	plant	[plant]30
RIL_8W_74 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_37	plant	[plant]37
RIL_8W_74 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_36	plant	[plant]36
RIL_8W_74 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_29	plant	[plant]29
RIL_8W_74 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_22	plant	[plant]22
RIL_8W_74 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_35	plant	[plant]35
RIL_8W_74 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_31	plant	[plant]31
RIL_8W_74 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_33	plant	[plant]33
RIL_8W_74 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_21	plant	[plant]21
RIL_8W_74 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_26	plant	[plant]26
RIL_8W_74 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_24	plant	[plant]24
RIL_8W_74 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_28	plant	[plant]28
RIL_8W_74 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_25	plant	[plant]25
RIL_8W_74 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_20	plant	[plant]20
RIL_8W_74 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_34	plant	[plant]34
RIL_8W_75 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_54	plant	[plant]54
RIL_8W_75 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_56	plant	[plant]56
RIL_8W_75 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_41	plant	[plant]41
RIL_8W_75 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_49	plant	[plant]49
RIL_8W_75 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_39	plant	[plant]39
RIL_8W_75 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_47	plant	[plant]47
RIL_8W_75 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_50	plant	[plant]50
RIL_8W_75 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_52	plant	[plant]52
RIL_8W_75 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_57	plant	[plant]57
RIL_8W_75 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_42	plant	[plant]42
