observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	leafNumber	leafLaminaFreshWeight	leafArea	leafFreshWeight	cellDivisionZoneLengthLeaf	leafWidth	shootFreshWeight	leafLength	finalLeafLength	shootDryWeight
P_6669	NA	NA	NA	Zea_VIB_RIL_8W_10RIL8way___124	RIL_8W_10 RIL 8-way 	124	NA	2013-02-10T10:15:00Z								220.00		
P_6669	NA	NA	NA	Zea_VIB_RIL_8W_10RIL8way___124	RIL_8W_10 RIL 8-way 	124	NA	2013-02-11T08:00:00Z								290.00		
P_6670	NA	NA	NA	Zea_VIB_RIL_8W_10RIL8way___124	RIL_8W_10 RIL 8-way 	124	NA	2013-02-25T07:30:00Z									544.00	
P_6670	NA	NA	NA	Zea_VIB_RIL_8W_10RIL8way___124	RIL_8W_10 RIL 8-way 	124	NA	2013-02-25T07:30:00Z			51.80							
P_6670	NA	NA	NA	Zea_VIB_RIL_8W_10RIL8way___124	RIL_8W_10 RIL 8-way 	124	NA	2013-02-25T07:30:00Z				2.50						
P_6670	NA	NA	NA	Zea_VIB_RIL_8W_10RIL8way___124	RIL_8W_10 RIL 8-way 	124	NA	2013-02-25T07:30:00Z		1.10								
P_6670	NA	NA	NA	Zea_VIB_RIL_8W_10RIL8way___124	RIL_8W_10 RIL 8-way 	124	NA	2013-02-10T10:15:00Z								141.00		
P_6670	NA	NA	NA	Zea_VIB_RIL_8W_10RIL8way___124	RIL_8W_10 RIL 8-way 	124	NA	2013-02-11T08:00:00Z								206.00		
P_6670	NA	NA	NA	Zea_VIB_RIL_8W_10RIL8way___124	RIL_8W_10 RIL 8-way 	124	NA	2013-02-12T08:00:00Z								275.00		
P_6670	NA	NA	NA	Zea_VIB_RIL_8W_10RIL8way___124	RIL_8W_10 RIL 8-way 	124	NA	2013-02-13T08:00:00Z								333.00		
P_6670	NA	NA	NA	Zea_VIB_RIL_8W_10RIL8way___124	RIL_8W_10 RIL 8-way 	124	NA	2013-02-14T08:00:00Z								402.00		
P_6670	NA	NA	NA	Zea_VIB_RIL_8W_10RIL8way___124	RIL_8W_10 RIL 8-way 	124	NA	2013-02-15T09:00:00Z								472.00		
P_6670	NA	NA	NA	Zea_VIB_RIL_8W_10RIL8way___124	RIL_8W_10 RIL 8-way 	124	NA	2013-02-16T12:00:00Z								510.00		
P_6670	NA	NA	NA	Zea_VIB_RIL_8W_10RIL8way___124	RIL_8W_10 RIL 8-way 	124	NA	2013-02-18T08:20:00Z								532.00		
P_6670	NA	NA	NA	Zea_VIB_RIL_8W_10RIL8way___124	RIL_8W_10 RIL 8-way 	124	NA	2013-02-19T08:20:00Z								537.00		
P_6670	NA	NA	NA	Zea_VIB_RIL_8W_10RIL8way___124	RIL_8W_10 RIL 8-way 	124	NA	2013-02-20T08:00:00Z								544.00		
P_6670	NA	NA	NA	Zea_VIB_RIL_8W_10RIL8way___124	RIL_8W_10 RIL 8-way 	124	NA	2013-02-21T08:00:00Z								538.00		
P_6670	NA	NA	NA	Zea_VIB_RIL_8W_10RIL8way___124	RIL_8W_10 RIL 8-way 	124	NA	2013-02-22T09:10:00Z								540.00		
P_6670	NA	NA	NA	Zea_VIB_RIL_8W_10RIL8way___124	RIL_8W_10 RIL 8-way 	124	NA	2013-02-25T07:30:00Z								538.00		
P_6670	NA	NA	NA	Zea_VIB_RIL_8W_10RIL8way___124	RIL_8W_10 RIL 8-way 	124	NA	2013-02-25T07:30:00Z	10.00									
P_6670	NA	NA	NA	Zea_VIB_RIL_8W_10RIL8way___124	RIL_8W_10 RIL 8-way 	124	NA	2013-02-25T07:30:00Z						1.80				
P_6670	NA	NA	NA	Zea_VIB_RIL_8W_10RIL8way___124	RIL_8W_10 RIL 8-way 	124	NA	2013-02-25T07:30:00Z										3.48
P_6670	NA	NA	NA	Zea_VIB_RIL_8W_10RIL8way___124	RIL_8W_10 RIL 8-way 	124	NA	2013-02-25T07:30:00Z							48.33			
P_6671	NA	NA	NA	Zea_VIB_RIL_8W_10RIL8way___124	RIL_8W_10 RIL 8-way 	124	NA	2013-02-10T10:15:00Z								215.00		
P_6671	NA	NA	NA	Zea_VIB_RIL_8W_10RIL8way___124	RIL_8W_10 RIL 8-way 	124	NA	2013-02-11T08:00:00Z								285.00		
P_6672	NA	NA	NA	Zea_VIB_RIL_8W_10RIL8way___124	RIL_8W_10 RIL 8-way 	124	NA	2013-02-10T10:15:00Z								210.00		
P_6672	NA	NA	NA	Zea_VIB_RIL_8W_10RIL8way___124	RIL_8W_10 RIL 8-way 	124	NA	2013-02-11T08:00:00Z								278.00		
P_6673	NA	NA	NA	Zea_VIB_RIL_8W_10RIL8way___124	RIL_8W_10 RIL 8-way 	124	NA	2013-02-10T10:15:00Z								200.00		
P_6673	NA	NA	NA	Zea_VIB_RIL_8W_10RIL8way___124	RIL_8W_10 RIL 8-way 	124	NA	2013-02-11T08:00:00Z								270.00		
P_6674	NA	NA	NA	Zea_VIB_RIL_8W_10RIL8way___124	RIL_8W_10 RIL 8-way 	124	NA	2013-02-10T10:15:00Z								204.00		
P_6674	NA	NA	NA	Zea_VIB_RIL_8W_10RIL8way___124	RIL_8W_10 RIL 8-way 	124	NA	2013-02-11T08:00:00Z								278.00		
P_6675	NA	NA	NA	Zea_VIB_RIL_8W_10RIL8way___124	RIL_8W_10 RIL 8-way 	124	NA	2013-02-10T10:15:00Z								219.00		
P_6675	NA	NA	NA	Zea_VIB_RIL_8W_10RIL8way___124	RIL_8W_10 RIL 8-way 	124	NA	2013-02-11T08:00:00Z								292.00		
P_6676	NA	NA	NA	Zea_VIB_RIL_8W_10RIL8way___124	RIL_8W_10 RIL 8-way 	124	NA	2013-02-25T07:30:00Z									532.00	
