observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	leafFreshWeight	leafNumber	leafWidth	shootFreshWeight	leafLength	cellDivisionZoneLengthLeaf	finalLeafLength	leafLaminaFreshWeight	leafArea	shootDryWeight
P_7822	NA	NA	NA	Zea_VIB_RIL_8W_73RIL8way___175	RIL_8W_73 RIL 8-way 	175	NA	2013-09-04T07:00:00Z					149.00					
P_7822	NA	NA	NA	Zea_VIB_RIL_8W_73RIL8way___175	RIL_8W_73 RIL 8-way 	175	NA	2013-09-05T07:10:00Z					218.00					
P_7822	NA	NA	NA	Zea_VIB_RIL_8W_73RIL8way___175	RIL_8W_73 RIL 8-way 	175	NA	2013-09-06T08:40:00Z					282.00					
P_7823	NA	NA	NA	Zea_VIB_RIL_8W_73RIL8way___175	RIL_8W_73 RIL 8-way 	175	NA	2013-09-16T07:20:00Z							762.00			
P_7823	NA	NA	NA	Zea_VIB_RIL_8W_73RIL8way___175	RIL_8W_73 RIL 8-way 	175	NA	2013-09-16T07:20:00Z									99.42	
P_7823	NA	NA	NA	Zea_VIB_RIL_8W_73RIL8way___175	RIL_8W_73 RIL 8-way 	175	NA	2013-09-16T07:20:00Z	5.10									
P_7823	NA	NA	NA	Zea_VIB_RIL_8W_73RIL8way___175	RIL_8W_73 RIL 8-way 	175	NA	2013-09-16T07:20:00Z								2.14		
P_7823	NA	NA	NA	Zea_VIB_RIL_8W_73RIL8way___175	RIL_8W_73 RIL 8-way 	175	NA	2013-09-05T07:10:00Z					185.00					
P_7823	NA	NA	NA	Zea_VIB_RIL_8W_73RIL8way___175	RIL_8W_73 RIL 8-way 	175	NA	2013-09-06T08:40:00Z					252.00					
P_7823	NA	NA	NA	Zea_VIB_RIL_8W_73RIL8way___175	RIL_8W_73 RIL 8-way 	175	NA	2013-09-08T08:00:00Z					385.00					
P_7823	NA	NA	NA	Zea_VIB_RIL_8W_73RIL8way___175	RIL_8W_73 RIL 8-way 	175	NA	2013-09-10T07:00:00Z					534.00					
P_7823	NA	NA	NA	Zea_VIB_RIL_8W_73RIL8way___175	RIL_8W_73 RIL 8-way 	175	NA	2013-09-10T07:10:00Z					459.00					
P_7823	NA	NA	NA	Zea_VIB_RIL_8W_73RIL8way___175	RIL_8W_73 RIL 8-way 	175	NA	2013-09-11T08:25:00Z					610.00					
P_7823	NA	NA	NA	Zea_VIB_RIL_8W_73RIL8way___175	RIL_8W_73 RIL 8-way 	175	NA	2013-09-12T07:30:00Z					674.00					
P_7823	NA	NA	NA	Zea_VIB_RIL_8W_73RIL8way___175	RIL_8W_73 RIL 8-way 	175	NA	2013-09-13T07:30:00Z					711.00					
P_7823	NA	NA	NA	Zea_VIB_RIL_8W_73RIL8way___175	RIL_8W_73 RIL 8-way 	175	NA	2013-09-16T07:20:00Z					757.00					
P_7823	NA	NA	NA	Zea_VIB_RIL_8W_73RIL8way___175	RIL_8W_73 RIL 8-way 	175	NA	2013-09-16T07:20:00Z		7.00								
