Source Name	Characteristics[Organism]	Characteristics[Genus]	Characteristics[Species]	Characteristics[Infraspecific Name]	Characteristics[Material Source ID]	Characteristics[Material Source DOI]	Protocol REF	Sample Name	Characteristics[Observation Unit Type]	Characteristics[Spatial Distribution]
Riesling*Gewurztraminer0011D	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0011D	https://doi.org/10.15454/M9QLI7	sample collection	26818.19	BLOCK>PLOT>PLANT	[X]32; [Y]19; [plant]26818.19; [BLOCK>PLOT>PLANT]26818.19; [BLOCK>PLOT]26818; [BLOCK]2
Riesling*Gewurztraminer0011E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0011E	https://doi.org/10.15454/L0Y8RN	sample collection	26612	BLOCK>PLOT	[X]25; [Y]26; [BLOCK>PLOT]26612; [BLOCK]3
Riesling*Gewurztraminer0011E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0011E	https://doi.org/10.15454/L0Y8RN	sample collection	26612.27	BLOCK>PLOT>PLANT	[X]25; [Y]27; [plant]26612.27; [BLOCK>PLOT>PLANT]26612.27; [BLOCK>PLOT]26612; [BLOCK]3
Riesling*Gewurztraminer0011E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0011E	https://doi.org/10.15454/L0Y8RN	sample collection	26369	BLOCK>PLOT	[X]17; [Y]20; [BLOCK>PLOT]26369; [BLOCK]2
Riesling*Gewurztraminer0012D	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0012D	https://doi.org/10.15454/HOKKI6	sample collection	26527	BLOCK>PLOT	[X]22; [Y]36; [BLOCK>PLOT]26527; [BLOCK]3
Riesling*Gewurztraminer0012D	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0012D	https://doi.org/10.15454/HOKKI6	sample collection	26527.37	BLOCK>PLOT>PLANT	[X]22; [Y]37; [plant]26527.37; [BLOCK>PLOT>PLANT]26527.37; [BLOCK>PLOT]26527; [BLOCK]3
Riesling*Gewurztraminer0012D	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0012D	https://doi.org/10.15454/HOKKI6	sample collection	26666	BLOCK>PLOT	[X]27; [Y]14; [BLOCK>PLOT]26666; [BLOCK]2
Riesling*Gewurztraminer0012E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0012E	https://doi.org/10.15454/AR5P6T	sample collection	26586	BLOCK>PLOT	[X]24; [Y]34; [BLOCK>PLOT]26586; [BLOCK]3
Riesling*Gewurztraminer0012E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0012E	https://doi.org/10.15454/AR5P6T	sample collection	26393.8	BLOCK>PLOT>PLANT	[X]18; [Y]8; [plant]26393.8; [BLOCK>PLOT>PLANT]26393.8; [BLOCK>PLOT]26393; [BLOCK]1
Riesling*Gewurztraminer0012E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0012E	https://doi.org/10.15454/AR5P6T	sample collection	26547	BLOCK>PLOT	[X]23; [Y]16; [BLOCK>PLOT]26547; [BLOCK]2
