Sample Name	Protocol REF	Parameter Value[season]	Assay Name
1	phenotyping	2011	assay-name_(2858884-2011)
2	phenotyping	2011	assay-name_(2858899-2011)
AO11001itknt	phenotyping	2011	assay-name_(2858784-2011)
AO11001itkt	phenotyping	2011	assay-name_(2858907-2011)
AO11002itknt	phenotyping	2011	assay-name_(2858937-2011)
AO11002itknt	phenotyping	2011	assay-name_(2858923-2011)
AO11002itknt	phenotyping	2011	assay-name_(2858819-2011)
AO11002itkt	phenotyping	2011	assay-name_(2858798-2011)
AO11002itkt	phenotyping	2011	assay-name_(2858826-2011)
AO11002itkt	phenotyping	2011	assay-name_(2858874-2011)
AO11002itkt	phenotyping	2011	assay-name_(2858919-2011)
AO11002itkt	phenotyping	2011	assay-name_(2858792-2011)
AO11003itknt	phenotyping	2011	assay-name_(2858859-2011)
AO11003itknt	phenotyping	2011	assay-name_(2858916-2011)
AO11003itknt	phenotyping	2011	assay-name_(2858911-2011)
AO11004itknt	phenotyping	2011	assay-name_(2858790-2011)
AO11004itknt	phenotyping	2011	assay-name_(2858793-2011)
AO11004itkt	phenotyping	2011	assay-name_(2858920-2011)
AO11004itkt	phenotyping	2011	assay-name_(2858817-2011)
AO11004itkt	phenotyping	2011	assay-name_(2858832-2011)
AO11004itkt	phenotyping	2011	assay-name_(2858824-2011)
Apacheitkt	phenotyping	2011	assay-name_(2858867-2011)
Apacheitkt	phenotyping	2011	assay-name_(2858918-2011)
Attlassitknt	phenotyping	2011	assay-name_(2858796-2011)
Attlassitknt	phenotyping	2011	assay-name_(2858862-2011)
Attlassitknt	phenotyping	2011	assay-name_(2858785-2011)
Attlassitknt	phenotyping	2011	assay-name_(2858827-2011)
Bermudeitknt	phenotyping	2011	assay-name_(2858866-2011)
CF10011itkt	phenotyping	2011	assay-name_(2858934-2011)
CF10011itkt	phenotyping	2011	assay-name_(2858851-2011)
CF10016itknt	phenotyping	2011	assay-name_(2858901-2011)
CF10016itknt	phenotyping	2011	assay-name_(2858782-2011)
CF10016itknt	phenotyping	2011	assay-name_(2858886-2011)
CF10039itknt	phenotyping	2011	assay-name_(2858833-2011)
CF10039itknt	phenotyping	2011	assay-name_(2858906-2011)
CF10042itknt	phenotyping	2011	assay-name_(2858810-2011)
CF10042itknt	phenotyping	2011	assay-name_(2858821-2011)
CF10042itknt	phenotyping	2011	assay-name_(2858808-2011)
CF10042itknt	phenotyping	2011	assay-name_(2858854-2011)
