observationLevels[REPLICATION]	observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	sept	rdt
1	2833480-2008	gnpis.lot:'CF07193'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBGNDgwSQ==	CF07193	36771	2008	NA	3	
2	2833481-2008	gnpis.lot:'CF07193'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBGNDgwSQ==	CF07193	36771	2008	NA		49,14
2	2833481-2008	gnpis.lot:'CF07193'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBGNDgwSQ==	CF07193	36771	2008	NA	4	
1	2833496-2008	gnpis.lot:'Sankara'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1I1VkpXNg==	SANKARA	23878	2008	NA		47,96
1	2833496-2008	gnpis.lot:'Sankara'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1I1VkpXNg==	SANKARA	23878	2008	NA	3,5	
1	2833506-2008	gnpis.lot:'DI08009'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAwOQ==	DI08009	DI08009	2008	NA		49,14
1	2833506-2008	gnpis.lot:'DI08009'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAwOQ==	DI08009	DI08009	2008	NA	2,5	
2	2833465-2008	gnpis.lot:'DI08011'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0U4RlA5WQ==	DI08011	36785	2008	NA		45,66
2	2833465-2008	gnpis.lot:'DI08011'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0U4RlA5WQ==	DI08011	36785	2008	NA	5,2	
2	2833527-2008	gnpis.lot:'RE07082'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzA4Mg==	RE07082	RE07082	2008	NA		48,17
2	2833527-2008	gnpis.lot:'RE07082'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzA4Mg==	RE07082	RE07082	2008	NA	4	
1	2833458-2008	gnpis.lot:'EM07246'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNzI0Ng==	EM07246	EM07246	2008	NA		43,51
1	2833458-2008	gnpis.lot:'EM07246'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNzI0Ng==	EM07246	EM07246	2008	NA	3	
1	2833512-2008	gnpis.lot:'CF07141'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VXTk45UQ==	CF07141	37400	2008	NA		44,53
1	2833512-2008	gnpis.lot:'CF07141'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VXTk45UQ==	CF07141	37400	2008	NA	3,5	
1	2833514-2008	gnpis.lot:'RE07047'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzA0Nw==	RE07047	RE07047	2008	NA		47,82
1	2833514-2008	gnpis.lot:'RE07047'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzA0Nw==	RE07047	RE07047	2008	NA	3,5	
1	2833522-2008	gnpis.lot:'RE07075'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzA3NQ==	RE07075	RE07075	2008	NA		38,86
1	2833522-2008	gnpis.lot:'RE07075'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzA3NQ==	RE07075	RE07075	2008	NA	3,5	
1	2833500-2008	gnpis.lot:'AO08511'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6QU8wODUxMQ==	AO08511	AO08511	2008	NA		26,14
1	2833500-2008	gnpis.lot:'AO08511'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6QU8wODUxMQ==	AO08511	AO08511	2008	NA	6,5	
1	2833456-2008	gnpis.lot:'Premio'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzVZQjQ0Sw==	PREMIO	29855	2008	NA		39,72
