Sample Name	Protocol REF	Assay Name	Derived Data File
Apacheitkfi	phenotyping	2791697-2003	d_BTH_Le_Moulon_2003_SetB3_VIRTUAL_TRIAL.txt
Apacheitkt	phenotyping	2791698-2003	d_BTH_Le_Moulon_2003_SetB3_VIRTUAL_TRIAL.txt
CF00057itkfi	phenotyping	2791729-2003	d_BTH_Le_Moulon_2003_SetB3_VIRTUAL_TRIAL.txt
CF00057itkt	phenotyping	2791730-2003	d_BTH_Le_Moulon_2003_SetB3_VIRTUAL_TRIAL.txt
CF01108itkfi	phenotyping	2791721-2003	d_BTH_Le_Moulon_2003_SetB3_VIRTUAL_TRIAL.txt
CF01108itkt	phenotyping	2791722-2003	d_BTH_Le_Moulon_2003_SetB3_VIRTUAL_TRIAL.txt
CF01185itkfi	phenotyping	2791731-2003	d_BTH_Le_Moulon_2003_SetB3_VIRTUAL_TRIAL.txt
CF01185itkt	phenotyping	2791732-2003	d_BTH_Le_Moulon_2003_SetB3_VIRTUAL_TRIAL.txt
CF02040itkfi	phenotyping	2791665-2003	d_BTH_Le_Moulon_2003_SetB3_VIRTUAL_TRIAL.txt
CF02040itkt	phenotyping	2791666-2003	d_BTH_Le_Moulon_2003_SetB3_VIRTUAL_TRIAL.txt
CF02170itkfi	phenotyping	2791693-2003	d_BTH_Le_Moulon_2003_SetB3_VIRTUAL_TRIAL.txt
CF02170itkt	phenotyping	2791694-2003	d_BTH_Le_Moulon_2003_SetB3_VIRTUAL_TRIAL.txt
CF02242itkfi	phenotyping	2791685-2003	d_BTH_Le_Moulon_2003_SetB3_VIRTUAL_TRIAL.txt
CF02242itkt	phenotyping	2791686-2003	d_BTH_Le_Moulon_2003_SetB3_VIRTUAL_TRIAL.txt
CF02252itkfi	phenotyping	2791719-2003	d_BTH_Le_Moulon_2003_SetB3_VIRTUAL_TRIAL.txt
CF02252itkt	phenotyping	2791720-2003	d_BTH_Le_Moulon_2003_SetB3_VIRTUAL_TRIAL.txt
CF02266itkfi	phenotyping	2791667-2003	d_BTH_Le_Moulon_2003_SetB3_VIRTUAL_TRIAL.txt
