observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	prot	r	rdt
2791683-2003	gnpis.lot:'RE02116'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjExNg==	RE02116	RE02116	2003	NA		112,2	
2791683-2003	gnpis.lot:'RE02116'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjExNg==	RE02116	RE02116	2003	NA			78,3
2791683-2003	gnpis.lot:'RE02116'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjExNg==	RE02116	RE02116	2003	NA			
2791730-2003	gnpis.lot:'CF00057'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMDA1Nw==	CF00057	CF00057	2003	NA		101,8	
2791730-2003	gnpis.lot:'CF00057'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMDA1Nw==	CF00057	CF00057	2003	NA			97,6
2791730-2003	gnpis.lot:'CF00057'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMDA1Nw==	CF00057	CF00057	2003	NA	13,3		
2791661-2003	gnpis.lot:'DI03019'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMzAxOQ==	DI03019	DI03019	2003	NA		105	
2791661-2003	gnpis.lot:'DI03019'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMzAxOQ==	DI03019	DI03019	2003	NA			73,3
2791661-2003	gnpis.lot:'DI03019'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMzAxOQ==	DI03019	DI03019	2003	NA			
2791715-2003	gnpis.lot:'RE01047'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzNXODBGUg==	RE01047	23819	2003	NA		117	
2791715-2003	gnpis.lot:'RE01047'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzNXODBGUg==	RE01047	23819	2003	NA			81,7
2791715-2003	gnpis.lot:'RE01047'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzNXODBGUg==	RE01047	23819	2003	NA			
2791746-2003	gnpis.lot:'SOISSONS'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pSTU5PMg==	SOISSONS	6607	2003	NA		92,7	
2791746-2003	gnpis.lot:'SOISSONS'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pSTU5PMg==	SOISSONS	6607	2003	NA			88,9
2791746-2003	gnpis.lot:'SOISSONS'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pSTU5PMg==	SOISSONS	6607	2003	NA	12,9		
