observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	prot	r	rdt
2791745-2003	gnpis.lot:'SOISSONS'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pSTU5PMg==	SOISSONS	6607	2003	NA			64,7
2791745-2003	gnpis.lot:'SOISSONS'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pSTU5PMg==	SOISSONS	6607	2003	NA			
2791682-2003	gnpis.lot:'RE02178'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjE3OA==	RE02178	RE02178	2003	NA		99,8	
2791682-2003	gnpis.lot:'RE02178'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjE3OA==	RE02178	RE02178	2003	NA			95,7
2791682-2003	gnpis.lot:'RE02178'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjE3OA==	RE02178	RE02178	2003	NA	12,5		
2791727-2003	gnpis.lot:'EM02209'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NDTDk2Rw==	EM02209	24589	2003	NA		110,4	
2791727-2003	gnpis.lot:'EM02209'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NDTDk2Rw==	EM02209	24589	2003	NA			77,1
2791727-2003	gnpis.lot:'EM02209'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NDTDk2Rw==	EM02209	24589	2003	NA			
2791685-2003	gnpis.lot:'CF02242'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMjI0Mg==	CF02242	CF02242	2003	NA		100,1	
2791685-2003	gnpis.lot:'CF02242'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMjI0Mg==	CF02242	CF02242	2003	NA			69,9
2791685-2003	gnpis.lot:'CF02242'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMjI0Mg==	CF02242	CF02242	2003	NA			
2791739-2003	gnpis.lot:'EM02157'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjE1Nw==	EM02157	EM02157	2003	NA		98,9	
2791739-2003	gnpis.lot:'EM02157'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjE1Nw==	EM02157	EM02157	2003	NA			69,1
2791739-2003	gnpis.lot:'EM02157'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjE1Nw==	EM02157	EM02157	2003	NA			
2791684-2003	gnpis.lot:'RE02116'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjExNg==	RE02116	RE02116	2003	NA		110,2	
2791684-2003	gnpis.lot:'RE02116'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjExNg==	RE02116	RE02116	2003	NA			105,7
2791684-2003	gnpis.lot:'RE02116'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjExNg==	RE02116	RE02116	2003	NA	12,4		
2791724-2003	gnpis.lot:'EM02147'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjE0Nw==	EM02147	EM02147	2003	NA		100,4	
