observationLevels[REPLICATION]	observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	rdt
2	2858893-2011	gnpis.lot:'DI11006'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1hHMFNJTg==	DI11006	DI11006	2011	NA	81,6
1	2858802-2011	gnpis.lot:'CF10004'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0k5VUFINg==	CF10004	CF10004	2011	NA	68,93
2	2858881-2011	gnpis.lot:'AO11003'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBQTU5KMQ==	AO11003	AO11003	2011	NA	86,21
1	2858834-2011	gnpis.lot:'DI11005'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzVNVkdOVg==	DI11005	DI11005	2011	NA	81,71
1	2858878-2011	gnpis.lot:'AO11003'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBQTU5KMQ==	AO11003	AO11003	2011	NA	77,33
2	2858927-2011	gnpis.lot:'RE10042'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzVBUE9IQw==	RE10042	37832	2011	NA	81,84
2	2858895-2011	gnpis.lot:'RE10040'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1UwQVdLUA==	RE10040	37214	2011	NA	77,7
2	2858933-2011	gnpis.lot:'RE10023'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzhHV0dCRw==	RE10023	RE10023	2011	NA	85,89
1	2858822-2011	gnpis.lot:'Apache'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1Y4V1JIWQ==	APACHE	13481	2011	NA	76,2
1	2858872-2011	gnpis.lot:'CF10039'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzREU0dZNA==	CF10039	CF10039	2011	NA	74,67
1	2858920-2011	gnpis.lot:'RE10029'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1NGNVRDNw==	RE10029	RE10029	2011	NA	82,8
2	2858817-2011	gnpis.lot:'EM10200'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pTV0xNSw==	EM10200	EM10200	2011	NA	89,68
1	2858824-2011	gnpis.lot:'Apache'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1Y4V1JIWQ==	APACHE	13481	2011	NA	80,65
1	2858832-2011	gnpis.lot:'DI11004'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FSVkVMOA==	DI11004	DI11004	2011	NA	78,74
1	2858778-2011	gnpis.lot:'Barok'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ozTU5ZRg==	BAROK	32101	2011	NA	81,84
2	2858855-2011	gnpis.lot:'RE10039'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05TWjA5Qw==	RE10039	37668	2011	NA	80,08
2	2858839-2011	gnpis.lot:'DI11002'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1hVV1hZTA==	DI11002	DI11002	2011	NA	81,96
2	2858857-2011	gnpis.lot:'RE10039'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05TWjA5Qw==	RE10039	37668	2011	NA	87,04
2	2858891-2011	gnpis.lot:'DI11006'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1hHMFNJTg==	DI11006	DI11006	2011	NA	75,32
2	2858823-2011	gnpis.lot:'Apache'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1Y4V1JIWQ==	APACHE	13481	2011	NA	71,94
1	2858836-2011	gnpis.lot:'DI11005'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzVNVkdOVg==	DI11005	DI11005	2011	NA	83,71
1	2858866-2011	gnpis.lot:'Altigo'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZDWUJHTQ==	ALTIGO	29843	2011	NA	80,96
2	2858801-2011	gnpis.lot:'CF10049'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01GNExWNw==	CF10049	CF10049	2011	NA	79,37
1	2858858-2011	gnpis.lot:'AO11005'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzA4WjVGSA==	AO11005	37245	2011	NA	84,09
2	2858827-2011	gnpis.lot:'EM10126'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01QVFhKUA==	EM10126	EM10126	2011	NA	83,09
2	2858785-2011	gnpis.lot:'Premio'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzVZQjQ0Sw==	PREMIO	29855	2011	NA	84,5
1	2858862-2011	gnpis.lot:'AO11004'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0s0RFBCSA==	AO11004	AO11004	2011	NA	70,43
1	2858796-2011	gnpis.lot:'Bermude'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1cxTlNaWA==	BERMUDE	29852	2011	NA	82,57
1	2858886-2011	gnpis.lot:'RE10043'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FJTDBUUg==	RE10043	RE10043	2011	NA	73,19
2	2858901-2011	gnpis.lot:'DI11007'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzlNT1c4Uw==	DI11007	DI11007	2011	NA	74,54
1	2858782-2011	gnpis.lot:'Premio'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzVZQjQ0Sw==	PREMIO	29855	2011	NA	75,82
2	2858841-2011	gnpis.lot:'DI11002'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1hVV1hZTA==	DI11002	DI11002	2011	NA	87,51
1	2858898-2011	gnpis.lot:'DI11007'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzlNT1c4Uw==	DI11007	DI11007	2011	NA	71,56
2	2858931-2011	gnpis.lot:'RE10023'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzhHV0dCRw==	RE10023	RE10023	2011	NA	66,55
2	2858797-2011	gnpis.lot:'Bermude'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1cxTlNaWA==	BERMUDE	29852	2011	NA	91,76
1	2858806-2011	gnpis.lot:'AO11007'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FLRllJSA==	AO11007	AO11007	2011	NA	81,09
1	2858852-2011	gnpis.lot:'AO11006'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lBUEpCTg==	AO11006	AO11006	2011	NA	90,32
1	2858928-2011	gnpis.lot:'RE10042'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzVBUE9IQw==	RE10042	37832	2011	NA	85,09
1	2858842-2011	gnpis.lot:'DI11003'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01HWENURg==	DI11003	DI11003	2011	NA	79,21
1	2858870-2011	gnpis.lot:'CF10039'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzREU0dZNA==	CF10039	CF10039	2011	NA	82,46
1	2858922-2011	gnpis.lot:'Attlass'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzRCSEIwTg==	ATTLASS	28926	2011	NA	68,68
2	2858877-2011	gnpis.lot:'AO11001'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzcyUkxGUQ==	AO11001	37243	2011	NA	93,39
1	2858800-2011	gnpis.lot:'CF10049'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01GNExWNw==	CF10049	CF10049	2011	NA	76,99
1	2858814-2011	gnpis.lot:'EM10200'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pTV0xNSw==	EM10200	EM10200	2011	NA	73,19
1	2858828-2011	gnpis.lot:'EM10126'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01QVFhKUA==	EM10126	EM10126	2011	NA	80,6
2	2858813-2011	gnpis.lot:'RE10016'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FBUlRCQw==	RE10016	RE10016	2011	NA	81,21
2	2858829-2011	gnpis.lot:'EM10126'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01QVFhKUA==	EM10126	EM10126	2011	NA	85,75
1	2858908-2011	gnpis.lot:'RE10049'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1hGQU83Uw==	RE10049	RE10049	2011	NA	76,04
2	2858885-2011	gnpis.lot:'EM10241'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FLT0RRSg==	EM10241	EM10241	2011	NA	87,35
2	2858907-2011	gnpis.lot:'RE10049'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1hGQU83Uw==	RE10049	RE10049	2011	NA	83,22
1	2858788-2011	gnpis.lot:'CF10044'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZBTEk2Tg==	CF10044	CF10044	2011	NA	84,93
2	2858913-2011	gnpis.lot:'AO11002'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lZSVNQTA==	AO11002	37244	2011	NA	89,73
1	2858868-2011	gnpis.lot:'Altigo'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZDWUJHTQ==	ALTIGO	29843	2011	NA	86,35
2	2858871-2011	gnpis.lot:'CF10039'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzREU0dZNA==	CF10039	CF10039	2011	NA	80,08
2	2858853-2011	gnpis.lot:'AO11006'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lBUEpCTg==	AO11006	AO11006	2011	NA	85,07
2	2858863-2011	gnpis.lot:'AO11004'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0s0RFBCSA==	AO11004	AO11004	2011	NA	74,44
1	2858864-2011	gnpis.lot:'AO11004'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0s0RFBCSA==	AO11004	AO11004	2011	NA	81,87
2	2858805-2011	gnpis.lot:'CF10004'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0k5VUFINg==	CF10004	CF10004	2011	NA	83,63
2	2858879-2011	gnpis.lot:'AO11003'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBQTU5KMQ==	AO11003	AO11003	2011	NA	69,31
2	2858889-2011	gnpis.lot:'RE10043'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FJTDBUUg==	RE10043	RE10043	2011	NA	83,49
2	2858905-2011	gnpis.lot:'CF10011'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1lGU0hBOA==	CF10011	CF10011	2011	NA	80,61
2	2858807-2011	gnpis.lot:'AO11007'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FLRllJSA==	AO11007	AO11007	2011	NA	82,59
