observationLevels[REPLICATION]	observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	prot	rdt
2	2791614-2003	gnpis.lot:'EM02203'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjIwMw==	EM02203	EM02203	2003	NA	10,95	
1	2791643-2003	gnpis.lot:'EM02157'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjE1Nw==	EM02157	EM02157	2003	NA		NA
1	2791643-2003	gnpis.lot:'EM02157'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjE1Nw==	EM02157	EM02157	2003	NA	12,91	
2	2791496-2003	gnpis.lot:'CF02040'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMjA0MA==	CF02040	CF02040	2003	NA		98,56
2	2791496-2003	gnpis.lot:'CF02040'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMjA0MA==	CF02040	CF02040	2003	NA	12,77	
2	2791498-2003	gnpis.lot:'CF02266'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VUUElXSw==	CF02266	24598	2003	NA		75,54
2	2791498-2003	gnpis.lot:'CF02266'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VUUElXSw==	CF02266	24598	2003	NA	10,55	
2	2791600-2003	gnpis.lot:'EM02207'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dEUUtQVg==	EM02207	29816	2003	NA		101,6
2	2791600-2003	gnpis.lot:'EM02207'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dEUUtQVg==	EM02207	29816	2003	NA	11,34	
2	2791602-2003	gnpis.lot:'CF02252'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzlCMVFDSg==	CF02252	24597	2003	NA		78,36
2	2791602-2003	gnpis.lot:'CF02252'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzlCMVFDSg==	CF02252	24597	2003	NA	10,72	
1	2791573-2003	gnpis.lot:'DI03020'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMzAyMA==	DI03020	DI03020	2003	NA		69,61
1	2791573-2003	gnpis.lot:'DI03020'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMzAyMA==	DI03020	DI03020	2003	NA	13,66	
2	2791642-2003	gnpis.lot:'EM02157'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjE1Nw==	EM02157	EM02157	2003	NA		72,13
2	2791642-2003	gnpis.lot:'EM02157'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjE1Nw==	EM02157	EM02157	2003	NA	10,93	
1	2791533-2003	gnpis.lot:'CF02242'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMjI0Mg==	CF02242	CF02242	2003	NA		67,15
1	2791533-2003	gnpis.lot:'CF02242'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMjI0Mg==	CF02242	CF02242	2003	NA	9,57	
2	2791502-2003	gnpis.lot:'RE02084'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjA4NA==	RE02084	RE02084	2003	NA		63,16
2	2791502-2003	gnpis.lot:'RE02084'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjA4NA==	RE02084	RE02084	2003	NA	11,47	
1	2791611-2003	gnpis.lot:'EM02147'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjE0Nw==	EM02147	EM02147	2003	NA		95,31
1	2791611-2003	gnpis.lot:'EM02147'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjE0Nw==	EM02147	EM02147	2003	NA	13,29	
2	2791652-2003	gnpis.lot:'EM02201'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjIwMQ==	EM02201	EM02201	2003	NA		94,55
2	2791652-2003	gnpis.lot:'EM02201'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjIwMQ==	EM02201	EM02201	2003	NA	12,24	
1	2791577-2003	gnpis.lot:'DI03026'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMzAyNg==	DI03026	DI03026	2003	NA		77,61
1	2791577-2003	gnpis.lot:'DI03026'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMzAyNg==	DI03026	DI03026	2003	NA	10,38	
1	2791513-2003	gnpis.lot:'RE02080'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FNM0dBTg==	RE02080	23822	2003	NA		81,05
1	2791513-2003	gnpis.lot:'RE02080'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FNM0dBTg==	RE02080	23822	2003	NA	10,26	
1	2791549-2003	gnpis.lot:'CF02170'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xWNVROQw==	CF02170	24596	2003	NA		72,95
1	2791549-2003	gnpis.lot:'CF02170'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xWNVROQw==	CF02170	24596	2003	NA	10,5	
1	2791591-2003	gnpis.lot:'Charger'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBBTERRQQ==	CHARGER	13431	2003	NA		101,34
1	2791591-2003	gnpis.lot:'Charger'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBBTERRQQ==	CHARGER	13431	2003	NA	12,39	
2	2791628-2003	gnpis.lot:'CF01185'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xDQVhQMw==	CF01185	24600	2003	NA		107,06
2	2791628-2003	gnpis.lot:'CF01185'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xDQVhQMw==	CF01185	24600	2003	NA	11,21	
