observationLevels[REPLICATION]	observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	prot	rdt
2	2791634-2003	gnpis.lot:'Isengrain'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1laWkdZQg==	ISENGRAIN	13433	2003	NA		76,11
2	2791634-2003	gnpis.lot:'Isengrain'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1laWkdZQg==	ISENGRAIN	13433	2003	NA	9,5	
1	2791541-2003	gnpis.lot:'DI03024'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMzAyNA==	DI03024	DI03024	2003	NA		74,71
1	2791541-2003	gnpis.lot:'DI03024'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMzAyNA==	DI03024	DI03024	2003	NA	10,49	
2	2791544-2003	gnpis.lot:'DI03024'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMzAyNA==	DI03024	DI03024	2003	NA		90,62
2	2791544-2003	gnpis.lot:'DI03024'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMzAyNA==	DI03024	DI03024	2003	NA	12,81	
1	2791599-2003	gnpis.lot:'EM02207'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dEUUtQVg==	EM02207	29816	2003	NA		110,73
1	2791599-2003	gnpis.lot:'EM02207'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dEUUtQVg==	EM02207	29816	2003	NA	11,95	
1	2791623-2003	gnpis.lot:'CF00057'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMDA1Nw==	CF00057	CF00057	2003	NA		96,41
1	2791623-2003	gnpis.lot:'CF00057'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMDA1Nw==	CF00057	CF00057	2003	NA	13,15	
