observationLevels[REPLICATION]	observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	rdt
1	2887649-2014	gnpis.lot:'AO14040'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05aTzJRNg==	AO14040	AO14040	2014	NA	90,74
2	2887610-2014	gnpis.lot:'EM13243'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FTWjFJWA==	EM13243	EM13243	2014	NA	79,51
1	2887667-2014	gnpis.lot:'RE13128'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NSRlBYUg==	RE13128	RE13128	2014	NA	94,25
2	2887606-2014	gnpis.lot:'CF13158'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0JPWEJCWQ==	CF13158	CF13158	2014	NA	88,92
1	2887645-2014	gnpis.lot:'AO14042'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBGU0lCUQ==	AO14042	AO14042	2014	NA	70,74
1	2887605-2014	gnpis.lot:'CF13158'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0JPWEJCWQ==	CF13158	CF13158	2014	NA	94,13
1	2887627-2014	gnpis.lot:'Apache'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1Y4V1JIWQ==	APACHE	13481	2014	NA	71,89
2	2887630-2014	gnpis.lot:'AO14039'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dGTDFZWA==	AO14039	AO14039	2014	NA	82,9
1	2887603-2014	gnpis.lot:'EM13249'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05US1JLOA==	EM13249	EM13249	2014	NA	78,8
1	2887625-2014	gnpis.lot:'RE13138'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzhEQ1c4Rg==	RE13138	RE13138	2014	NA	75,19
2	2887604-2014	gnpis.lot:'EM13249'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05US1JLOA==	EM13249	EM13249	2014	NA	77,25
2	2887660-2014	gnpis.lot:'AO14026'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1paWkxJUg==	AO14026	AO14026	2014	NA	79,96
2	2887632-2014	gnpis.lot:'AO14038'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dTNE1KUg==	AO14038	AO14038	2014	NA	75,84
2	2887646-2014	gnpis.lot:'AO14042'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBGU0lCUQ==	AO14042	AO14042	2014	NA	64,37
1	2887635-2014	gnpis.lot:'AO14023'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1JaWlRGWg==	AO14023	AO14023	2014	NA	90,48
1	2887643-2014	gnpis.lot:'CF13217'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0pIQ1dNWQ==	CF13217	CF13217	2014	NA	70,03
2	2887618-2014	gnpis.lot:'RE13114'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0RHS0lXMQ==	RE13114	RE13114	2014	NA	90,75
2	2887622-2014	gnpis.lot:'RE13116'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L043TkNSMQ==	RE13116	RE13116	2014	NA	89,45
1	2887651-2014	gnpis.lot:'AO14041'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0JIUkRIWQ==	AO14041	AO14041	2014	NA	92,27
2	2887602-2014	gnpis.lot:'DI14004'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FUQ0lEQw==	DI14004	DI14004	2014	NA	90,37
1	2887597-2014	gnpis.lot:'Barok'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ozTU5ZRg==	BAROK	32101	2014	NA	90,74
1	2887653-2014	gnpis.lot:'CF13187'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1JWVVBSRw==	CF13187	CF13187	2014	NA	81,68
2	2887664-2014	gnpis.lot:'Rubisko'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1hTQzVONw==	RUBISKO	36680	2014	NA	87,98
2	2887654-2014	gnpis.lot:'CF13187'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1JWVVBSRw==	CF13187	CF13187	2014	NA	81,15
1	2887659-2014	gnpis.lot:'AO14026'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1paWkxJUg==	AO14026	AO14026	2014	NA	85,26
2	2887620-2014	gnpis.lot:'AO14036'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L09XODU3RQ==	AO14036	AO14036	2014	NA	93,83
1	2887647-2014	gnpis.lot:'AO14043'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L00zNllTWA==	AO14043	AO14043	2014	NA	81,65
2	2887658-2014	gnpis.lot:'AO14025'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BTRFZEVA==	AO14025	AO14025	2014	NA	76,4
1	2887623-2014	gnpis.lot:'AO14034'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0hYR0gyVg==	AO14034	AO14034	2014	NA	83,6
1	2887613-2014	gnpis.lot:'RE13107'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VNNEtDWg==	RE13107	RE13107	2014	NA	89,59
2	2887656-2014	gnpis.lot:'RE13121'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1k5R1FZSA==	RE13121	RE13121	2014	NA	87,08
1	2887601-2014	gnpis.lot:'DI14004'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FUQ0lEQw==	DI14004	DI14004	2014	NA	98,6
