observationLevels[REPLICATION]	observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	vr	rdt	ps
2	2826335-2007	gnpis.lot:'RE06109'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNjEwOQ==	RE06109	RE06109	2007	NA			69,2
2	2826335-2007	gnpis.lot:'RE06109'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNjEwOQ==	RE06109	RE06109	2007	NA			
2	2826347-2007	gnpis.lot:'RE06127'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1RCS1dRTg==	RE06127	35314	2007	NA		94,71	
2	2826347-2007	gnpis.lot:'RE06127'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1RCS1dRTg==	RE06127	35314	2007	NA			75,2
2	2826347-2007	gnpis.lot:'RE06127'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1RCS1dRTg==	RE06127	35314	2007	NA			
1	2826372-2007	gnpis.lot:'CF06296'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjI5Ng==	CF06296	CF06296	2007	NA		46,09	
1	2826372-2007	gnpis.lot:'CF06296'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjI5Ng==	CF06296	CF06296	2007	NA			63,8
1	2826372-2007	gnpis.lot:'CF06296'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjI5Ng==	CF06296	CF06296	2007	NA	1		
2	2826341-2007	gnpis.lot:'Gorecki'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6R29yZWNraQ==	Gorecki	Gorecki	2007	NA		NA	
2	2826341-2007	gnpis.lot:'Gorecki'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6R29yZWNraQ==	Gorecki	Gorecki	2007	NA			NA
2	2826341-2007	gnpis.lot:'Gorecki'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6R29yZWNraQ==	Gorecki	Gorecki	2007	NA	2,5		
1	2826250-2007	gnpis.lot:'RE06130'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FDU0JGVw==	RE06130	36813	2007	NA		83,63	
1	2826250-2007	gnpis.lot:'RE06130'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FDU0JGVw==	RE06130	36813	2007	NA			75,1
1	2826250-2007	gnpis.lot:'RE06130'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FDU0JGVw==	RE06130	36813	2007	NA			
2	2826243-2007	gnpis.lot:'RE06134'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0s2UldKSw==	RE06134	35315	2007	NA		93,34	
2	2826243-2007	gnpis.lot:'RE06134'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0s2UldKSw==	RE06134	35315	2007	NA			73,7
