observationLevels[REPLICATION]	observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	vr	rdt	ps
2	2826249-2007	gnpis.lot:'RE06130'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FDU0JGVw==	RE06130	36813	2007	NA	2,5		
2	2826313-2007	gnpis.lot:'AO07803'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05NWERPWg==	AO07803	36742	2007	NA		56,42	
2	2826313-2007	gnpis.lot:'AO07803'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05NWERPWg==	AO07803	36742	2007	NA			68,2
2	2826313-2007	gnpis.lot:'AO07803'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05NWERPWg==	AO07803	36742	2007	NA	2		
1	2826242-2007	gnpis.lot:'RE06134'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0s2UldKSw==	RE06134	35315	2007	NA		91,01	
1	2826242-2007	gnpis.lot:'RE06134'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0s2UldKSw==	RE06134	35315	2007	NA			74,8
1	2826242-2007	gnpis.lot:'RE06134'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0s2UldKSw==	RE06134	35315	2007	NA			
2	2826333-2007	gnpis.lot:'RE06109'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNjEwOQ==	RE06109	RE06109	2007	NA		51,46	
2	2826333-2007	gnpis.lot:'RE06109'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNjEwOQ==	RE06109	RE06109	2007	NA			56,8
2	2826333-2007	gnpis.lot:'RE06109'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNjEwOQ==	RE06109	RE06109	2007	NA	2		
2	2826359-2007	gnpis.lot:'RE06106'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNjEwNg==	RE06106	RE06106	2007	NA		89,31	
2	2826359-2007	gnpis.lot:'RE06106'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNjEwNg==	RE06106	RE06106	2007	NA			68,3
2	2826359-2007	gnpis.lot:'RE06106'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNjEwNg==	RE06106	RE06106	2007	NA			
1	2826274-2007	gnpis.lot:'CF06227'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BJUEJGVQ==	CF06227	33590	2007	NA		95,14	
1	2826274-2007	gnpis.lot:'CF06227'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BJUEJGVQ==	CF06227	33590	2007	NA			74
1	2826274-2007	gnpis.lot:'CF06227'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BJUEJGVQ==	CF06227	33590	2007	NA			
2	2826295-2007	gnpis.lot:'DI07016'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBERURBVQ==	DI07016	36782	2007	NA		91,98	
2	2826295-2007	gnpis.lot:'DI07016'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBERURBVQ==	DI07016	36782	2007	NA			75,7
2	2826295-2007	gnpis.lot:'DI07016'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBERURBVQ==	DI07016	36782	2007	NA			
1	2826362-2007	gnpis.lot:'EM06195'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNjE5NQ==	EM06195	EM06195	2007	NA		97,23	
1	2826362-2007	gnpis.lot:'EM06195'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNjE5NQ==	EM06195	EM06195	2007	NA			70,9
1	2826362-2007	gnpis.lot:'EM06195'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNjE5NQ==	EM06195	EM06195	2007	NA			
1	2826382-2007	gnpis.lot:'CF06235'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjIzNQ==	CF06235	CF06235	2007	NA		79,64	
1	2826382-2007	gnpis.lot:'CF06235'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjIzNQ==	CF06235	CF06235	2007	NA			72,8
1	2826382-2007	gnpis.lot:'CF06235'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjIzNQ==	CF06235	CF06235	2007	NA			
2	2826387-2007	gnpis.lot:'CF06230'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BCRDhQTw==	CF06230	33591	2007	NA		87,78	
2	2826387-2007	gnpis.lot:'CF06230'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BCRDhQTw==	CF06230	33591	2007	NA			70,7
2	2826387-2007	gnpis.lot:'CF06230'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BCRDhQTw==	CF06230	33591	2007	NA			
2	2826379-2007	gnpis.lot:'CF06210'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0JaR0JIVw==	CF06210	36763	2007	NA		82,22	
2	2826379-2007	gnpis.lot:'CF06210'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0JaR0JIVw==	CF06210	36763	2007	NA			70,3
2	2826379-2007	gnpis.lot:'CF06210'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0JaR0JIVw==	CF06210	36763	2007	NA			
