observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	leafFreshWeight	leafNumber	leafWidth	shootFreshWeight	leafLength	cellDivisionZoneLengthLeaf	finalLeafLength	leafLaminaFreshWeight	leafArea	shootDryWeight
P_6211	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-22T07:00:00Z					134.00					
P_6211	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-23T07:10:00Z					194.00					
P_6211	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-24T07:00:00Z					255.00					
P_6212	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-22T07:00:00Z					129.00					
P_6212	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-23T07:10:00Z					187.00					
P_6212	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-24T07:00:00Z					242.00					
P_6213	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-22T07:00:00Z					113.00					
P_6213	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-23T07:10:00Z					164.00					
P_6213	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-24T07:00:00Z					223.00					
P_6214	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-22T07:00:00Z					113.00					
P_6214	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-23T07:10:00Z					171.00					
P_6214	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-24T07:00:00Z					236.00					
P_6215	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-11-06T07:30:00Z						8840.00				
P_6215	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-22T07:00:00Z					124.00					
P_6215	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-23T07:10:00Z					181.00					
P_6215	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-24T07:00:00Z					236.00					
P_6216	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-11-06T07:30:00Z						9200.00				
P_6216	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-22T07:00:00Z					140.00					
P_6216	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-23T07:10:00Z					191.00					
P_6216	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-24T07:00:00Z					250.00					
P_6217	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-21T06:20:00Z					129.00					
P_6217	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-22T07:00:00Z					198.00					
P_6217	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-23T07:10:00Z					265.00					
P_6218	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-21T06:20:00Z					128.00					
P_6218	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-22T07:00:00Z					194.00					
P_6218	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-23T07:10:00Z					260.00					
P_6219	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-11-06T07:30:00Z							540.00			
P_6219	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-11-06T07:30:00Z									48.51	
P_6219	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-11-06T07:30:00Z	2.78									
P_6219	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-11-06T07:30:00Z								1.11		
P_6219	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-21T06:20:00Z					165.00					
P_6219	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-22T07:00:00Z					241.00					
P_6219	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-23T07:10:00Z					315.00					
P_6219	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-24T07:00:00Z					382.00					
P_6219	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-25T07:00:00Z					437.00					
P_6219	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-26T06:15:00Z					481.00					
P_6219	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-28T15:15:00Z					548.00					
P_6219	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-29T08:00:00Z					542.00					
P_6219	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-30T07:30:00Z					547.00					
P_6219	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-31T07:25:00Z					541.00					
P_6219	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-11-02T11:45:00Z					541.00					
P_6219	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-11-05T08:20:00Z					541.00					
P_6219	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-11-06T07:30:00Z					540.00					
P_6219	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-11-06T07:30:00Z			1.90							
P_6219	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-11-06T07:30:00Z										1.44
P_6219	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-11-06T07:30:00Z				39.19						
P_6220	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-11-06T07:30:00Z							482.00			
P_6220	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-11-06T07:30:00Z									45.47	
P_6220	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-11-06T07:30:00Z	2.30									
P_6220	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-11-06T07:30:00Z								1.07		
P_6220	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-22T07:00:00Z					112.00					
P_6220	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-23T07:10:00Z					164.00					
P_6220	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-24T07:00:00Z					217.00					
P_6220	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-25T07:00:00Z					279.00					
P_6220	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-26T06:15:00Z					343.00					
P_6220	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-28T15:15:00Z					448.00					
P_6220	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-29T08:00:00Z					457.00					
P_6220	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-30T07:30:00Z					473.00					
P_6220	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-31T07:25:00Z					479.00					
P_6220	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-11-02T11:45:00Z					479.00					
P_6220	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-11-05T08:20:00Z					480.00					
P_6220	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-11-06T07:30:00Z					482.00					
P_6220	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-11-06T07:30:00Z		9.00								
P_6220	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-11-06T07:30:00Z			2.03							
P_6220	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-11-06T07:30:00Z										2.67
P_6220	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-11-06T07:30:00Z				18.63						
P_6221	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-21T06:20:00Z					145.00					
P_6221	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-22T07:00:00Z					216.00					
P_6221	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-23T07:10:00Z					293.00					
P_6222	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-11-06T07:30:00Z							560.00			
P_6222	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-11-06T07:30:00Z									64.33	
P_6222	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-11-06T07:30:00Z	3.88									
P_6222	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-11-06T07:30:00Z								1.70		
P_6222	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-22T07:00:00Z					147.00					
P_6222	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-23T07:10:00Z					211.00					
P_6222	NA	NA	NA	Zea_VIB_RIL26RIL2way___90	RIL26 RIL 2-way 	90	NA	2012-10-24T07:00:00Z					271.00					
