observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	leafFreshWeight	leafWidth	shootFreshWeight	leafLength	cellDivisionZoneLengthLeaf	finalLeafLength	leafLaminaFreshWeight	leafArea	shootDryWeight
P_4376	NA	NA	NA	Zea_VIB_RIL130RIL2way___1	RIL130 RIL 2-way 	1	NA	2011-10-05T07:00:00Z				120.00					
P_4376	NA	NA	NA	Zea_VIB_RIL130RIL2way___1	RIL130 RIL 2-way 	1	NA	2011-10-06T07:05:00Z				172.00					
P_4376	NA	NA	NA	Zea_VIB_RIL130RIL2way___1	RIL130 RIL 2-way 	1	NA	2011-10-07T07:15:00Z				219.00					
P_4377	NA	NA	NA	Zea_VIB_RIL130RIL2way___1	RIL130 RIL 2-way 	1	NA	2011-10-04T07:00:00Z				139.00					
P_4377	NA	NA	NA	Zea_VIB_RIL130RIL2way___1	RIL130 RIL 2-way 	1	NA	2011-10-05T07:00:00Z				190.00					
P_4377	NA	NA	NA	Zea_VIB_RIL130RIL2way___1	RIL130 RIL 2-way 	1	NA	2011-10-06T07:05:00Z				245.00					
P_4378	NA	NA	NA	Zea_VIB_RIL130RIL2way___1	RIL130 RIL 2-way 	1	NA	2011-10-18T07:20:00Z					14200.00				
P_4378	NA	NA	NA	Zea_VIB_RIL130RIL2way___1	RIL130 RIL 2-way 	1	NA	2011-10-05T07:00:00Z				146.00					
P_4378	NA	NA	NA	Zea_VIB_RIL130RIL2way___1	RIL130 RIL 2-way 	1	NA	2011-10-06T07:05:00Z				199.00					
P_4378	NA	NA	NA	Zea_VIB_RIL130RIL2way___1	RIL130 RIL 2-way 	1	NA	2011-10-07T07:15:00Z				244.00					
P_4379	NA	NA	NA	Zea_VIB_RIL130RIL2way___1	RIL130 RIL 2-way 	1	NA	2011-10-05T07:00:00Z				131.00					
P_4379	NA	NA	NA	Zea_VIB_RIL130RIL2way___1	RIL130 RIL 2-way 	1	NA	2011-10-06T07:05:00Z				180.00					
P_4379	NA	NA	NA	Zea_VIB_RIL130RIL2way___1	RIL130 RIL 2-way 	1	NA	2011-10-07T07:15:00Z				232.00					
P_4380	NA	NA	NA	Zea_VIB_RIL130RIL2way___1	RIL130 RIL 2-way 	1	NA	2011-10-04T07:00:00Z				172.00					
P_4380	NA	NA	NA	Zea_VIB_RIL130RIL2way___1	RIL130 RIL 2-way 	1	NA	2011-10-05T07:00:00Z				239.00					
