observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	leafFreshWeight	leafWidth	shootFreshWeight	leafLength	cellDivisionZoneLengthLeaf	finalLeafLength	leafLaminaFreshWeight	leafArea	shootDryWeight
P_5510	NA	NA	NA	Zea_VIB_RIL81RIL2way___64	RIL81 RIL 2-way 	64	NA	2012-05-22T07:00:00Z						587.00			
P_5510	NA	NA	NA	Zea_VIB_RIL81RIL2way___64	RIL81 RIL 2-way 	64	NA	2012-05-07T06:50:00Z				183.00					
P_5510	NA	NA	NA	Zea_VIB_RIL81RIL2way___64	RIL81 RIL 2-way 	64	NA	2012-05-08T07:10:00Z				246.00					
P_5510	NA	NA	NA	Zea_VIB_RIL81RIL2way___64	RIL81 RIL 2-way 	64	NA	2012-05-09T07:05:00Z				314.00					
P_5510	NA	NA	NA	Zea_VIB_RIL81RIL2way___64	RIL81 RIL 2-way 	64	NA	2012-05-10T08:30:00Z				392.00					
P_5510	NA	NA	NA	Zea_VIB_RIL81RIL2way___64	RIL81 RIL 2-way 	64	NA	2012-05-11T06:50:00Z				464.00					
P_5510	NA	NA	NA	Zea_VIB_RIL81RIL2way___64	RIL81 RIL 2-way 	64	NA	2012-05-13T16:30:00Z				568.00					
P_5510	NA	NA	NA	Zea_VIB_RIL81RIL2way___64	RIL81 RIL 2-way 	64	NA	2012-05-14T07:00:00Z				574.00					
P_5510	NA	NA	NA	Zea_VIB_RIL81RIL2way___64	RIL81 RIL 2-way 	64	NA	2012-05-15T07:10:00Z				582.00					
P_5510	NA	NA	NA	Zea_VIB_RIL81RIL2way___64	RIL81 RIL 2-way 	64	NA	2012-05-16T06:30:00Z				588.00					
P_5510	NA	NA	NA	Zea_VIB_RIL81RIL2way___64	RIL81 RIL 2-way 	64	NA	2012-05-17T11:30:00Z				588.00					
P_5510	NA	NA	NA	Zea_VIB_RIL81RIL2way___64	RIL81 RIL 2-way 	64	NA	2012-05-18T06:30:00Z				588.00					
P_5510	NA	NA	NA	Zea_VIB_RIL81RIL2way___64	RIL81 RIL 2-way 	64	NA	2012-05-21T07:00:00Z				588.00					
P_5510	NA	NA	NA	Zea_VIB_RIL81RIL2way___64	RIL81 RIL 2-way 	64	NA	2012-05-22T07:00:00Z				587.00					
P_5511	NA	NA	NA	Zea_VIB_RIL81RIL2way___64	RIL81 RIL 2-way 	64	NA	2012-05-22T07:00:00Z						576.00			
P_5511	NA	NA	NA	Zea_VIB_RIL81RIL2way___64	RIL81 RIL 2-way 	64	NA	2012-05-07T06:50:00Z				187.00					
P_5511	NA	NA	NA	Zea_VIB_RIL81RIL2way___64	RIL81 RIL 2-way 	64	NA	2012-05-08T07:10:00Z				247.00					
P_5511	NA	NA	NA	Zea_VIB_RIL81RIL2way___64	RIL81 RIL 2-way 	64	NA	2012-05-09T07:05:00Z				314.00					
P_5511	NA	NA	NA	Zea_VIB_RIL81RIL2way___64	RIL81 RIL 2-way 	64	NA	2012-05-10T08:30:00Z				382.00					
P_5511	NA	NA	NA	Zea_VIB_RIL81RIL2way___64	RIL81 RIL 2-way 	64	NA	2012-05-11T06:50:00Z				447.00					
P_5511	NA	NA	NA	Zea_VIB_RIL81RIL2way___64	RIL81 RIL 2-way 	64	NA	2012-05-13T16:30:00Z				549.00					
P_5511	NA	NA	NA	Zea_VIB_RIL81RIL2way___64	RIL81 RIL 2-way 	64	NA	2012-05-14T07:00:00Z				556.00					
P_5511	NA	NA	NA	Zea_VIB_RIL81RIL2way___64	RIL81 RIL 2-way 	64	NA	2012-05-15T07:10:00Z				567.00					
P_5511	NA	NA	NA	Zea_VIB_RIL81RIL2way___64	RIL81 RIL 2-way 	64	NA	2012-05-16T06:30:00Z				571.00					
P_5511	NA	NA	NA	Zea_VIB_RIL81RIL2way___64	RIL81 RIL 2-way 	64	NA	2012-05-17T11:30:00Z				568.00					
P_5511	NA	NA	NA	Zea_VIB_RIL81RIL2way___64	RIL81 RIL 2-way 	64	NA	2012-05-18T06:30:00Z				577.00					
P_5511	NA	NA	NA	Zea_VIB_RIL81RIL2way___64	RIL81 RIL 2-way 	64	NA	2012-05-21T07:00:00Z				578.00					
P_5511	NA	NA	NA	Zea_VIB_RIL81RIL2way___64	RIL81 RIL 2-way 	64	NA	2012-05-22T07:00:00Z				576.00					
P_5512	NA	NA	NA	Zea_VIB_RIL81RIL2way___64	RIL81 RIL 2-way 	64	NA	2012-05-06T08:50:00Z				128.00					
P_5512	NA	NA	NA	Zea_VIB_RIL81RIL2way___64	RIL81 RIL 2-way 	64	NA	2012-05-07T06:50:00Z				181.00					
P_5512	NA	NA	NA	Zea_VIB_RIL81RIL2way___64	RIL81 RIL 2-way 	64	NA	2012-05-08T07:10:00Z				238.00					
P_5513	NA	NA	NA	Zea_VIB_RIL81RIL2way___64	RIL81 RIL 2-way 	64	NA	2012-05-07T06:50:00Z				158.00					
P_5513	NA	NA	NA	Zea_VIB_RIL81RIL2way___64	RIL81 RIL 2-way 	64	NA	2012-05-08T07:10:00Z				220.00					
P_5513	NA	NA	NA	Zea_VIB_RIL81RIL2way___64	RIL81 RIL 2-way 	64	NA	2012-05-09T07:05:00Z				287.00					
P_5514	NA	NA	NA	Zea_VIB_RIL81RIL2way___64	RIL81 RIL 2-way 	64	NA	2012-05-22T07:00:00Z					12200.00				
P_5514	NA	NA	NA	Zea_VIB_RIL81RIL2way___64	RIL81 RIL 2-way 	64	NA	2012-05-06T08:50:00Z				172.00					
P_5514	NA	NA	NA	Zea_VIB_RIL81RIL2way___64	RIL81 RIL 2-way 	64	NA	2012-05-07T06:50:00Z				236.00					
