observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	leafFreshWeight	leafWidth	shootFreshWeight	leafLength	cellDivisionZoneLengthLeaf	finalLeafLength	leafLaminaFreshWeight	leafArea	shootDryWeight
P_4535	NA	NA	NA	Zea_VIB_RIL138RIL2way___13	RIL138 RIL 2-way 	13	NA	2011-11-21T09:05:00Z						688.00			
P_4535	NA	NA	NA	Zea_VIB_RIL138RIL2way___13	RIL138 RIL 2-way 	13	NA	2011-11-21T09:05:00Z								101.67	
P_4535	NA	NA	NA	Zea_VIB_RIL138RIL2way___13	RIL138 RIL 2-way 	13	NA	2011-11-21T09:05:00Z	6.96								
P_4535	NA	NA	NA	Zea_VIB_RIL138RIL2way___13	RIL138 RIL 2-way 	13	NA	2011-11-21T09:05:00Z							2.93		
P_4535	NA	NA	NA	Zea_VIB_RIL138RIL2way___13	RIL138 RIL 2-way 	13	NA	2011-11-08T08:40:00Z				170.00					
P_4535	NA	NA	NA	Zea_VIB_RIL138RIL2way___13	RIL138 RIL 2-way 	13	NA	2011-11-09T07:00:00Z				237.00					
P_4535	NA	NA	NA	Zea_VIB_RIL138RIL2way___13	RIL138 RIL 2-way 	13	NA	2011-11-10T08:40:00Z				311.00					
P_4535	NA	NA	NA	Zea_VIB_RIL138RIL2way___13	RIL138 RIL 2-way 	13	NA	2011-11-11T10:30:00Z				389.00					
P_4535	NA	NA	NA	Zea_VIB_RIL138RIL2way___13	RIL138 RIL 2-way 	13	NA	2011-11-13T08:00:00Z				535.00					
P_4535	NA	NA	NA	Zea_VIB_RIL138RIL2way___13	RIL138 RIL 2-way 	13	NA	2011-11-14T09:05:00Z				602.00					
P_4535	NA	NA	NA	Zea_VIB_RIL138RIL2way___13	RIL138 RIL 2-way 	13	NA	2011-11-15T09:00:00Z				637.00					
P_4535	NA	NA	NA	Zea_VIB_RIL138RIL2way___13	RIL138 RIL 2-way 	13	NA	2011-11-16T09:00:00Z				659.00					
P_4535	NA	NA	NA	Zea_VIB_RIL138RIL2way___13	RIL138 RIL 2-way 	13	NA	2011-11-17T09:05:00Z				676.00					
P_4535	NA	NA	NA	Zea_VIB_RIL138RIL2way___13	RIL138 RIL 2-way 	13	NA	2011-11-18T09:40:00Z				684.00					
P_4535	NA	NA	NA	Zea_VIB_RIL138RIL2way___13	RIL138 RIL 2-way 	13	NA	2011-11-21T09:05:00Z				692.00					
P_4535	NA	NA	NA	Zea_VIB_RIL138RIL2way___13	RIL138 RIL 2-way 	13	NA	2011-11-21T09:05:00Z		2.98							
P_4535	NA	NA	NA	Zea_VIB_RIL138RIL2way___13	RIL138 RIL 2-way 	13	NA	2011-11-21T09:05:00Z									4.29
