Source Name	Characteristics[Organism]	Characteristics[Genus]	Characteristics[Species]	Protocol REF	Sample Name	Characteristics[Observation Unit Type]	Characteristics[Spatial Distribution]
B73 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_173	plant	[plant]173
B73 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_176	plant	[plant]176
B73 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_175	plant	[plant]175
B73 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_174	plant	[plant]174
B73 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_172	plant	[plant]172
H99 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_178	plant	[plant]178
H99 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_179	plant	[plant]179
H99 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_180	plant	[plant]180
H99 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_181	plant	[plant]181
H99 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_177	plant	[plant]177
RIL49 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_154	plant	[plant]154
RIL49 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_161	plant	[plant]161
RIL49 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_155	plant	[plant]155
RIL49 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_167	plant	[plant]167
RIL49 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_159	plant	[plant]159
RIL49 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_158	plant	[plant]158
RIL49 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_162	plant	[plant]162
RIL49 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_153	plant	[plant]153
RIL49 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_164	plant	[plant]164
RIL49 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_157	plant	[plant]157
RIL49 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_156	plant	[plant]156
RIL49 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_170	plant	[plant]170
RIL49 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_160	plant	[plant]160
RIL49 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_171	plant	[plant]171
RIL49 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_168	plant	[plant]168
RIL49 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_165	plant	[plant]165
RIL49 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_169	plant	[plant]169
RIL49 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_163	plant	[plant]163
RIL49 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_166	plant	[plant]166
RIL50 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_145	plant	[plant]145
RIL50 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_148	plant	[plant]148
RIL50 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_152	plant	[plant]152
RIL50 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_139	plant	[plant]139
RIL50 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_143	plant	[plant]143
RIL50 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_141	plant	[plant]141
RIL50 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_144	plant	[plant]144
RIL50 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_142	plant	[plant]142
RIL50 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_136	plant	[plant]136
RIL50 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_146	plant	[plant]146
RIL50 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_147	plant	[plant]147
RIL50 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_138	plant	[plant]138
RIL50 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_150	plant	[plant]150
RIL50 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_137	plant	[plant]137
RIL50 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_135	plant	[plant]135
RIL50 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_140	plant	[plant]140
RIL50 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_149	plant	[plant]149
RIL50 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_134	plant	[plant]134
RIL50 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_151	plant	[plant]151
RIL51 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_121	plant	[plant]121
RIL51 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_132	plant	[plant]132
