observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	leafLaminaFreshWeight	leafArea	leafFreshWeight	cellDivisionZoneLengthLeaf	leafWidth	shootFreshWeight	leafLength	finalLeafLength	shootDryWeight
P_5288	NA	NA	NA	Zea_VIB_RIL91RIL2way___53	RIL91 RIL 2-way 	53	NA	2012-04-08T07:30:00Z							141.00		
P_5288	NA	NA	NA	Zea_VIB_RIL91RIL2way___53	RIL91 RIL 2-way 	53	NA	2012-04-09T15:10:00Z							193.00		
P_5288	NA	NA	NA	Zea_VIB_RIL91RIL2way___53	RIL91 RIL 2-way 	53	NA	2012-04-10T07:00:00Z							217.00		
P_5289	NA	NA	NA	Zea_VIB_RIL91RIL2way___53	RIL91 RIL 2-way 	53	NA	2012-04-08T07:30:00Z							141.00		
P_5289	NA	NA	NA	Zea_VIB_RIL91RIL2way___53	RIL91 RIL 2-way 	53	NA	2012-04-09T15:10:00Z							208.00		
P_5289	NA	NA	NA	Zea_VIB_RIL91RIL2way___53	RIL91 RIL 2-way 	53	NA	2012-04-10T07:00:00Z							238.00		
P_5290	NA	NA	NA	Zea_VIB_RIL91RIL2way___53	RIL91 RIL 2-way 	53	NA	2012-04-08T07:30:00Z							179.00		
P_5290	NA	NA	NA	Zea_VIB_RIL91RIL2way___53	RIL91 RIL 2-way 	53	NA	2012-04-09T15:10:00Z							250.00		
P_5290	NA	NA	NA	Zea_VIB_RIL91RIL2way___53	RIL91 RIL 2-way 	53	NA	2012-04-10T07:00:00Z							280.00		
P_5291	NA	NA	NA	Zea_VIB_RIL91RIL2way___53	RIL91 RIL 2-way 	53	NA	2012-04-24T06:30:00Z								648.00	
P_5291	NA	NA	NA	Zea_VIB_RIL91RIL2way___53	RIL91 RIL 2-way 	53	NA	2012-04-24T06:30:00Z		83.53							
P_5291	NA	NA	NA	Zea_VIB_RIL91RIL2way___53	RIL91 RIL 2-way 	53	NA	2012-04-24T06:30:00Z			4.05						
P_5291	NA	NA	NA	Zea_VIB_RIL91RIL2way___53	RIL91 RIL 2-way 	53	NA	2012-04-24T06:30:00Z	1.96								
P_5291	NA	NA	NA	Zea_VIB_RIL91RIL2way___53	RIL91 RIL 2-way 	53	NA	2012-04-08T07:30:00Z							151.00		
P_5291	NA	NA	NA	Zea_VIB_RIL91RIL2way___53	RIL91 RIL 2-way 	53	NA	2012-04-09T15:10:00Z							233.00		
P_5291	NA	NA	NA	Zea_VIB_RIL91RIL2way___53	RIL91 RIL 2-way 	53	NA	2012-04-10T07:00:00Z							267.00		
P_5291	NA	NA	NA	Zea_VIB_RIL91RIL2way___53	RIL91 RIL 2-way 	53	NA	2012-04-24T06:30:00Z					2.35				
P_5291	NA	NA	NA	Zea_VIB_RIL91RIL2way___53	RIL91 RIL 2-way 	53	NA	2012-04-24T06:30:00Z									3.16
P_5291	NA	NA	NA	Zea_VIB_RIL91RIL2way___53	RIL91 RIL 2-way 	53	NA	2012-04-24T06:30:00Z						31.20			
P_5292	NA	NA	NA	Zea_VIB_RIL91RIL2way___53	RIL91 RIL 2-way 	53	NA	2012-04-24T06:30:00Z				4200.00					
P_5292	NA	NA	NA	Zea_VIB_RIL91RIL2way___53	RIL91 RIL 2-way 	53	NA	2012-04-08T07:30:00Z							170.00		
P_5292	NA	NA	NA	Zea_VIB_RIL91RIL2way___53	RIL91 RIL 2-way 	53	NA	2012-04-09T15:10:00Z							256.00		
P_5292	NA	NA	NA	Zea_VIB_RIL91RIL2way___53	RIL91 RIL 2-way 	53	NA	2012-04-10T07:00:00Z							295.00		
P_5293	NA	NA	NA	Zea_VIB_RIL91RIL2way___53	RIL91 RIL 2-way 	53	NA	2012-04-24T06:30:00Z								497.00	
P_5293	NA	NA	NA	Zea_VIB_RIL91RIL2way___53	RIL91 RIL 2-way 	53	NA	2012-04-24T06:30:00Z		55.38							
P_5293	NA	NA	NA	Zea_VIB_RIL91RIL2way___53	RIL91 RIL 2-way 	53	NA	2012-04-24T06:30:00Z			3.65						
P_5293	NA	NA	NA	Zea_VIB_RIL91RIL2way___53	RIL91 RIL 2-way 	53	NA	2012-04-24T06:30:00Z	1.52								
P_5293	NA	NA	NA	Zea_VIB_RIL91RIL2way___53	RIL91 RIL 2-way 	53	NA	2012-04-08T07:30:00Z							115.00		
P_5293	NA	NA	NA	Zea_VIB_RIL91RIL2way___53	RIL91 RIL 2-way 	53	NA	2012-04-09T15:10:00Z							184.00		
