observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	leafFreshWeight	leafWidth	shootFreshWeight	leafLength	cellDivisionZoneLengthLeaf	finalLeafLength	leafLaminaFreshWeight	leafArea	shootDryWeight
P_4712	NA	NA	NA	Zea_VIB_RIL120RIL2way___23	RIL120 RIL 2-way 	23	NA	2011-12-20T07:10:00Z						754.00			
P_4712	NA	NA	NA	Zea_VIB_RIL120RIL2way___23	RIL120 RIL 2-way 	23	NA	2011-12-20T07:10:00Z								119.82	
P_4712	NA	NA	NA	Zea_VIB_RIL120RIL2way___23	RIL120 RIL 2-way 	23	NA	2011-12-20T07:10:00Z	6.95								
P_4712	NA	NA	NA	Zea_VIB_RIL120RIL2way___23	RIL120 RIL 2-way 	23	NA	2011-12-20T07:10:00Z							3.54		
P_4712	NA	NA	NA	Zea_VIB_RIL120RIL2way___23	RIL120 RIL 2-way 	23	NA	2011-12-09T09:20:00Z				176.00					
P_4712	NA	NA	NA	Zea_VIB_RIL120RIL2way___23	RIL120 RIL 2-way 	23	NA	2011-12-11T10:00:00Z				300.00					
P_4712	NA	NA	NA	Zea_VIB_RIL120RIL2way___23	RIL120 RIL 2-way 	23	NA	2011-12-12T08:15:00Z				352.00					
P_4712	NA	NA	NA	Zea_VIB_RIL120RIL2way___23	RIL120 RIL 2-way 	23	NA	2011-12-13T08:20:00Z				414.00					
P_4712	NA	NA	NA	Zea_VIB_RIL120RIL2way___23	RIL120 RIL 2-way 	23	NA	2011-12-14T08:20:00Z				482.00					
P_4712	NA	NA	NA	Zea_VIB_RIL120RIL2way___23	RIL120 RIL 2-way 	23	NA	2011-12-15T08:20:00Z				551.00					
P_4712	NA	NA	NA	Zea_VIB_RIL120RIL2way___23	RIL120 RIL 2-way 	23	NA	2011-12-16T08:55:00Z				618.00					
P_4712	NA	NA	NA	Zea_VIB_RIL120RIL2way___23	RIL120 RIL 2-way 	23	NA	2011-12-19T08:20:00Z				737.00					
P_4712	NA	NA	NA	Zea_VIB_RIL120RIL2way___23	RIL120 RIL 2-way 	23	NA	2011-12-20T07:10:00Z				754.00					
P_4712	NA	NA	NA	Zea_VIB_RIL120RIL2way___23	RIL120 RIL 2-way 	23	NA	2011-12-20T07:10:00Z		2.97							
P_4712	NA	NA	NA	Zea_VIB_RIL120RIL2way___23	RIL120 RIL 2-way 	23	NA	2011-12-20T07:10:00Z									1.95
P_4712	NA	NA	NA	Zea_VIB_RIL120RIL2way___23	RIL120 RIL 2-way 	23	NA	2011-12-20T07:10:00Z			24.95						
